,CVL1,TrainL1,CVL2,TrainL2
0.001,-25338833.727733597,-8441802.728800096,-25511732.96957052,-8420140.736344473
0.005,-25217610.44486579,-8410059.63220669,-25606187.901192304,-8441021.675952172
0.01,-25664756.466368344,-8424289.452282494,-25587903.923361737,-8450419.751431312
0.02,-25149896.111762565,-8406853.50183723,-25563897.82011394,-8465527.427259201
0.04,-25327060.380029526,-8416983.641917098,-25542990.840844013,-8497777.257390989
0.06,-26157963.177887227,-8408555.452558868,-25540076.15908299,-8533522.724608107
0.08,-25603183.23819595,-8417813.269892361,-25546459.533513226,-8571199.637264688
0.1,-25190635.935830764,-8458287.884378087,-25558230.06188279,-8609755.566793406
0.2,-25668445.01133612,-8434230.745561818,-25648675.383113716,-8803315.862926494
0.4,-25332209.489323672,-8443705.1216477,-25852614.464689326,-9189840.929564843
0.6,-25134589.461587302,-8413802.035092972,-26042015.31348023,-9601483.233645247
0.8,-25151358.4170497,-8406535.817147061,-26218721.347238965,-10047346.179827213
1.0,-25146583.65603703,-8432221.00786873,-26389691.833801415,-10524355.328159487
1.3,-25736163.364318807,-8419657.006435137,-26646777.471239254,-11285829.902484968
1.7,-25543301.40496983,-8447203.677713294,-27007094.54324128,-12359996.610331943
2.0,-25410876.64087723,-8428707.842550222,-27297834.7518331,-13193017.069017123
5.0,-25335178.825258512,-8443497.792048128,-31347386.405276082,-21761438.551291477
10.0,-25902539.047105823,-8467678.171687502,-41419776.63114346,-35874655.63449657
50.0,-25425860.400002357,-8438246.22942564,-130759272.5542302,-130178791.28091036
100.0,-25391346.44572596,-8457872.311885338,-194172032.1450194,-193966698.61381236
