,CVL1,TrainL1,CVL2,TrainL2
0.001,-268371.2881806303,-255196.0765693503,-286753.7397443546,-275432.4952763798
0.005,-269124.7257614461,-254801.8659586622,-321873.1809378531,-312691.28948811407
0.01,-269331.86370237276,-256105.10475561215,-341274.65472849645,-333248.3031230942
0.02,-269119.2844519445,-254844.07114877686,-365637.9109528341,-358690.5919903746
0.04,-269789.92748153635,-256947.9085325052,-398327.32825988915,-392248.1922889307
0.06,-270239.8678061036,-257478.56944857736,-421794.90304420225,-416134.8022632073
0.08,-270204.7919590907,-258812.34241543553,-439941.9167202799,-434565.6788945638
0.1,-271825.5501922469,-258317.98312621884,-454475.91738395876,-449320.6372329801
0.2,-274769.32730553584,-263406.8045462796,-498368.5080371042,-493916.44539195456
0.4,-281821.3916403701,-270106.7635845571,-533912.7074376246,-530133.7687611043
0.6,-289174.49912385497,-277726.4849969197,-549351.9934798735,-545920.0249669998
0.8,-295677.99392148934,-284301.9692106649,-558054.9613671877,-554844.8711608574
1.0,-301835.0972951799,-289959.9925914142,-563686.9296806669,-560636.634394265
1.3,-311274.4319219768,-300451.3925251777,-569244.8871007537,-566371.6583720775
1.7,-324964.10364526,-313684.9103194837,-573940.4197200647,-571240.27569397
2.0,-333374.06688311615,-324172.5469420812,-576384.2150076531,-573787.1080353254
5.0,-353910.9988859412,-345920.9730587521,-586356.1338378272,-584373.1820925986
10.0,-394118.58109626983,-385603.4731472087,-591676.5935248727,-590252.9863317675
50.0,-569026.0302306205,-567093.8013171629,-611649.0966513405,-611350.7398551811
100.0,-575507.3446184554,-574593.8013171629,-629337.1751373378,-629138.4636129515
