,CVL1,TrainL1,CVL2,TrainL2
0.001,-101133.26646459183,-89146.6780350721,-112498.48800595322,-100818.97987297864
0.005,-100744.95491753673,-89538.13916187955,-143476.54649037545,-127596.53230418649
0.01,-100768.34739480156,-89754.77343336602,-163792.4760254877,-146014.17149556434
0.02,-100245.41438765408,-89269.57355321743,-192077.61037767085,-173267.8242435791
0.04,-102087.87286749936,-89981.82543827232,-238132.24477643467,-219094.27480381873
0.06,-100791.35183421653,-89296.18358935777,-277147.1372894278,-258391.4118872964
0.08,-102157.21129726236,-92194.54355575355,-310353.4098384712,-292060.4101132056
0.1,-102594.06410746541,-89226.72284313888,-338714.5687998128,-320965.8000157198
0.2,-103929.22200627517,-91613.52644560605,-433621.31692583126,-418688.8022678471
0.4,-105642.94068793854,-93967.83427269601,-521776.75768597814,-510847.9820355556
0.6,-107542.88687250546,-96491.8053361369,-564055.839087257,-555494.3772227765
0.8,-108858.40628526437,-97541.89052376892,-589135.1582017203,-582098.3198056333
1.0,-111903.69669975061,-99433.90449000463,-605824.8817780364,-599847.0767723253
1.3,-114539.31642785434,-103627.15250294002,-622556.3157129696,-617672.6273289124
1.7,-118702.58120115516,-104757.82028126137,-636732.9142117578,-632799.6083654739
2.0,-121459.04037513593,-106489.73447110114,-644033.5723627654,-640597.4602764903
5.0,-141176.08156893557,-123810.25305347645,-671245.9408046269,-669706.6496810794
10.0,-150864.06067701153,-135738.45743101303,-681383.8350606145,-680570.7406033161
50.0,-425636.7856928987,-421381.50650450547,-690063.0692690626,-689887.7349602403
100.0,-675890.1407971375,-675153.0456375501,-691206.974539411,-691117.6344049484
