,CVL1,TrainL1,CVL2,TrainL2
0.001,-1.505274925899894,-1.441309803686575,-1.4932146628856071,-1.4338588492997186
0.005,-1.565290005445668,-1.510720371257407,-1.5500626984101218,-1.4952038741940639
0.01,-1.6896819814154276,-1.6177509001946264,-1.5968791226781973,-1.5431278162741462
0.02,-1.8215950837372823,-1.768957944813924,-1.6527373083726624,-1.5988997650874963
0.04,-1.858583191625411,-1.8367855362792809,-1.7088580866342555,-1.6552308435456449
0.06,-1.858919287633366,-1.8387855362792809,-1.738902734776704,-1.6864650983525762
0.08,-1.8593398974637114,-1.839927755439366,-1.7583960279416828,-1.7074147360053937
0.1,-1.8592657157551318,-1.839927755439366,-1.7723348671213757,-1.7227874923082858
0.2,-1.8592657157551318,-1.839927755439366,-1.8083202928563769,-1.7641822653851083
0.4,-1.8592657157551318,-1.839927755439366,-1.8327356593010835,-1.794096509100361
0.6,-1.8592657157551318,-1.839927755439366,-1.8421138505729735,-1.8063779079168663
0.8,-1.8592657157551318,-1.839927755439366,-1.8469544529571695,-1.8131194307752805
1.0,-1.8592657157551318,-1.839927755439366,-1.8498479783847115,-1.8174016523795828
1.3,-1.8592657157551318,-1.839927755439366,-1.8524540494653847,-1.8215492901557706
1.7,-1.8592657157551318,-1.839927755439366,-1.8543999939876754,-1.8249713504281844
2.0,-1.8592657157551318,-1.839927755439366,-1.8552960697283012,-1.8267116988122925
5.0,-1.8592657157551318,-1.839927755439366,-1.8578814748647445,-1.8332838593742897
10.0,-1.8592657157551318,-1.839927755439366,-1.8585121323155078,-1.8359862616212812
50.0,-1.8592657157551318,-1.839927755439366,-1.8589531040287761,-1.8387416770265566
100.0,-1.8592657157551318,-1.839927755439366,-1.8590374156694198,-1.8392163352489272
