,CVL1,TrainL1,CVL2,TrainL2
0.001,-0.41467965551626973,-0.32200158844388416,-0.41757908981686004,-0.32229376867278836
0.005,-0.48047318749906764,-0.36370182142876495,-0.47741665891454943,-0.3599558392639818
0.01,-0.5361126118778201,-0.4064230114862058,-0.5011127359750381,-0.37612999572480493
0.02,-0.5442925007061695,-0.4202377246622023,-0.5196033955936668,-0.39061729929293665
0.04,-0.5732194705148145,-0.4550809037590571,-0.5379352599053565,-0.4069853728808843
0.06,-0.608702937260201,-0.49537715926055903,-0.5525001407991027,-0.4204693541161695
0.08,-0.63564997087748,-0.5343421992141317,-0.5666745577964404,-0.4335603141772834
0.1,-0.6713799276870169,-0.576604245952923,-0.5808840232544118,-0.4466151611035348
0.2,-0.8979843440826207,-0.813419381414668,-0.6505470950498399,-0.5101106302824328
0.4,-1.306663962533928,-1.2217452309172607,-0.7681884248902859,-0.6168729478881595
0.6,-1.602400799874206,-1.495400980586893,-0.8589156074871811,-0.6993141153453607
0.8,-1.7812810003277952,-1.7754009805868929,-0.9316902387461842,-0.7657734324439773
1.0,-1.8592657157551318,-1.839927755439366,-0.9922974086418308,-0.8215592530301167
1.3,-1.8592657157551318,-1.839927755439366,-1.0674782024831693,-0.8916255968135894
1.7,-1.8592657157551318,-1.839927755439366,-1.1476638162733923,-0.9678466279129241
2.0,-1.8592657157551318,-1.839927755439366,-1.1972331861530325,-1.0159509062893297
5.0,-1.8592657157551318,-1.839927755439366,-1.4670212824081117,-1.2966288160477863
10.0,-1.8592657157551318,-1.839927755439366,-1.6268633265144867,-1.484536088492086
50.0,-1.8592657157551318,-1.839927755439366,-1.8050170604019786,-1.7349759381001753
100.0,-1.8592657157551318,-1.839927755439366,-1.8309082627608473,-1.7815627583289482
