,CVL1,TrainL1,CVL2,TrainL2
0.001,0.4675324675324675,0.4675324675324675,0.5400347683812251,0.5536353410369158
0.005,0.47612230289395646,0.47612230289395646,0.4852234379793435,0.4872686368749361
0.01,0.47612230289395646,0.47612230289395646,0.5133449227937417,0.5326720523570917
0.02,0.5146743020758768,0.49360875345127314,0.5647816750178954,0.5923918601083955
0.04,0.5289906943450251,0.539216688822988,0.6141732283464567,0.6227630637079457
0.06,0.5422844871663769,0.5471929645157991,0.6225585438183864,0.6251150424378771
0.08,0.5449432457306473,0.5495449432457307,0.6246037427139789,0.6279783208917067
0.1,0.5484200838531548,0.6103896103896104,0.6275692811125883,0.6118212496165252
0.2,0.6176500664689641,0.6352387769710605,0.595050618672666,0.5945393189487678
0.4,0.6823806115144698,0.6891297678699253,0.6008794355251048,0.6089579711626956
0.6,0.7023213007464976,0.7150015338991716,0.6129461090091012,0.619593005419777
0.8,0.7165354330708661,0.7260456079353718,0.6203088250332345,0.6271602413334697
1.0,0.7240004090397791,0.7202167910829328,0.6266489416095715,0.6335003579098067
1.3,0.7195009714694754,0.7169444728499846,0.6319664587381123,0.6407608139891604
1.7,0.716024133346968,0.7139789344513754,0.6410675938234993,0.6493506493506493
2.0,0.7133653747826976,0.7127518151140199,0.6443399120564475,0.6517026280805809
5.0,0.7125472952244606,0.7161263932917477,0.6814602720114531,0.699151242458329
10.0,0.7203190510277124,0.7199100112485939,0.7127518151140199,0.7185806319664587
50.0,0.7196032314142551,0.7178648123530014,0.7258410880458125,0.7252275283771347
100.0,0.7205235709172717,0.7273749872175069,0.7210348706411699,0.7252275283771347
