,CVL1,TrainL1,CVL2,TrainL2
0.001,0.7201145311381532,0.7279885468861846,0.7836179568463033,0.7838224767358626
0.005,0.7631659678903774,0.7662337662337663,0.7896512935883014,0.8007976275692811
0.01,0.7833111770119644,0.79834338889457,0.8197157173535127,0.8323959505061868
0.02,0.8279987728806626,0.8627671541057368,0.8459965231618775,0.8540750587994682
0.04,0.9283157787094795,0.940893751917374,0.8658349524491257,0.872379588915022
0.06,0.9523468657326924,0.9618570405971981,0.8776971060435628,0.8863892013498312
0.08,0.9632886798241129,0.970140096124348,0.888945699969322,0.8973310154412517
0.1,0.9695265364556703,0.9779118519276,0.8958993762143368,0.904693731465385
0.2,0.9877288066264445,0.9898762654668166,0.9169649248389405,0.9229982615809388
0.4,0.9915124245832907,0.9921259842519685,0.9322016566111054,0.9375191737396462
0.6,0.9925350240310871,0.993353103589324,0.9403824521934758,0.946109009101135
0.8,0.993353103589324,0.9939666632580019,0.947233868493711,0.9505061867266592
1.0,0.9937621433684426,0.9943757030371203,0.9500971469475407,0.9534717251252685
1.3,0.9943757030371203,0.9945802229266796,0.9537785049596074,0.9581756825851314
1.7,0.9947847428162389,0.9950915226505778,0.9584824624194703,0.9630841599345537
2.0,0.9948870027610185,0.9948870027610185,0.9617547806524185,0.9656406585540444
5.0,0.9950915226505778,0.9958073422640352,0.9769915124245833,0.98067287043665
10.0,0.9955005624296963,0.9959096022088149,0.9866039472338685,0.9881378464055629
50.0,0.995296042540137,0.9951937825953574,0.9927395439206462,0.9939666632580019
100.0,0.9948870027610185,0.9958073422640352,0.9943757030371203,0.9947847428162389
