,L1NN,L2NN,RIDGE
0.0,5.5133639952,4.80444318366,0.616474425498
0.25,5.51876958081,4.76659802478,0.677394886947
0.5,5.54000058704,4.77487893486,0.770922351407
0.75,5.56739356906,4.81661608541,0.894625241525
1.0,5.59322845436,4.86026436582,1.08588123922
1.25,5.53606501138,4.82731362424,1.42315724767
1.5,5.6510784101,4.96903163397,1.50339650092
1.75,5.75375309548,5.06798964106,1.58938080134
2.0,5.67595495598,5.17824022033,1.8914438595
2.25,5.92366719879,5.0843582209,2.06404580855
2.5,5.92690313763,5.36149984602,2.73900739499
2.75,6.30241163326,5.77132029911,2.94370962704
3.0,6.21162923984,5.68586658696,3.29833259368
3.25,6.35831508819,5.7279710132,3.22606722074
3.5,6.64553440473,6.02604776018,3.75434355233
3.75,6.93096185668,6.55988302858,4.36737295092
4.0,7.09650989859,6.43950459382,4.51641615036
4.25,7.17988788315,6.85581201229,5.09322412562
4.5,6.90665826577,6.36836775379,5.0192467124
4.75,7.55008256721,7.19757964553,5.62141888956
5.0,7.86822091816,7.67855412101,6.32336815414
5.25,8.49540607147,8.03037729867,6.47936686077
5.5,8.73635570573,8.46960189746,7.31863117835
5.75,9.31936142692,9.19120550149,8.68645568308
6.0,8.59125333391,8.46385983676,8.4093013495
6.25,9.30635051481,9.19614807729,9.14091384207
6.5,9.60913728705,9.35042909668,9.13739106246
6.75,10.1591060771,10.0295182457,9.35253735358
7.0,10.4168952938,10.2880423003,10.1258054016
7.25,10.792358341,10.487317441,11.5823255528
7.5,10.8005016235,10.8487173852,11.5388557382
7.75,11.133340359,11.1888405497,12.050014981
8.0,13.2455030107,13.0026019276,13.7231403623
8.25,13.0730616758,12.8507917657,14.8699755738
8.5,12.3535807131,12.3464493898,15.7552824716
8.75,13.3757838227,13.2394066234,16.0027378465
9.0,13.6352022315,13.7492239892,15.5118877753
9.25,14.1476220654,14.2025612697,16.2569422446
9.5,15.2157670946,15.1267049209,17.2249412695
9.75,12.8460022548,12.7798328936,16.139916828
10.0,13.8645386129,13.4485261446,15.8552877899
