,L1NN,L2NN,RIDGE
0.0,9.17648997259,4.78030541181,49.7226941491
0.25,9.22085554491,4.7096532379,49.724964958
0.5,9.07555829557,4.85566606098,49.6867603691
0.75,9.10890403218,4.74924951119,49.8008274106
1.0,8.82932936922,4.89909423169,49.9389751089
1.25,8.86267510583,5.00934267889,49.9425982674
1.5,8.63093654786,5.05521404045,49.9609648352
1.75,8.42782093976,4.72614844651,49.816184308
2.0,8.43454733298,4.63635405799,50.1533428466
2.25,8.92012087274,5.82861269811,49.8198532828
2.5,8.225799666,6.12335288174,49.8348665928
2.75,7.99260281808,4.74283106143,50.2790047361
3.0,8.52590759426,4.6207457907,50.1732746699
3.25,8.31146124601,4.83348561894,50.5888275016
3.5,9.53205929108,4.74057527688,50.6022026533
3.75,8.58456267525,6.2690340734,50.9931128987
4.0,7.63040159479,4.71311032272,50.6151632643
4.25,8.29708585737,5.10349370246,50.069700154
4.5,9.09405843293,5.4326776541,50.1069212393
4.75,7.3729430956,4.29309222117,50.658208557
5.0,10.4108421206,9.66676398647,50.1407564987
5.25,11.7885364969,5.04955514754,49.8572199311
5.5,10.6150962367,9.90000839537,49.4979433582
5.75,11.3676240866,10.0561911545,50.2777720744
6.0,7.86292975139,6.81156352422,50.5500804959
6.25,13.5207932713,12.5551747936,51.0886915625
6.5,11.9283305607,10.30894529,50.7637770515
6.75,9.27485630662,8.08620167983,51.1465323257
7.0,10.2083044055,9.92336033677,51.1363581557
7.25,14.2594667203,15.0088899471,51.3575109376
7.5,10.0266299482,12.5877021732,51.2706038417
7.75,12.2549926794,9.88792872092,51.3506825154
8.0,16.6053937766,15.3610920555,51.4287841374
8.25,15.0615286515,12.7627662344,51.8622690873
8.5,16.6036978893,14.7129519667,52.7609442665
8.75,20.2177522512,18.3420421223,52.577754091
9.0,15.820646473,15.6322291177,52.5964780913
9.25,18.0813140556,12.5552926114,51.8290032097
9.5,16.2882526835,12.4182267922,51.7428645955
9.75,16.3403465,14.2916178835,52.6593458712
10.0,18.3042374558,14.0812741039,52.6636101699
