,L1NN,L2NN,RIDGE
0.0,2.87945990876,4.32387269198,0.616474425497
0.25,3.29381032329,9.59835370662,20.2660751491
0.5,3.51240854741,19.0947332039,42.0342291307
0.75,3.54428366218,34.4596810353,71.8686214753
1.0,3.59599633098,62.2213657474,114.710547705
1.25,3.78699994215,96.999015829,172.099931607
1.5,3.9342176272,117.968166373,218.087157471
1.75,4.15524938144,134.759581591,274.270227485
2.0,4.47483877689,148.961142608,357.055758015
2.25,4.55992358074,147.757239219,431.620337711
2.5,4.75071914354,148.641774597,487.350186011
2.75,4.55700190998,174.709924951,519.453258942
3.0,4.67088601302,177.506878741,645.228644001
3.25,5.08764024828,174.009086663,749.868862324
3.5,5.20201710888,190.954359797,889.848669901
3.75,5.32063050696,203.766528017,967.145234633
4.0,6.20166447528,204.063373932,1035.46957553
4.25,6.51631660738,205.305621404,1074.65779849
4.5,7.89727355596,190.74408133,1105.58895087
4.75,8.19703036255,181.734497863,1290.83152958
5.0,8.34272746322,183.39941559,1467.28610066
5.25,8.90150360532,200.605192147,1584.78115118
5.5,9.22537356691,193.140171981,1621.04304436
5.75,9.91246769357,190.232454611,1626.14923601
6.0,9.39643804952,197.265854018,1704.86162146
6.25,9.78221534648,178.46277104,1778.18276815
6.5,10.5350976145,170.082817103,1832.89225097
6.75,11.4688597276,167.681001058,1811.85062687
7.0,11.2247716627,170.599877998,2013.76530378
7.25,11.4296792322,173.727517477,2217.07958307
7.5,12.1865187815,155.635721639,2148.55086777
7.75,12.589228057,168.287121646,2156.36609002
8.0,12.4056218275,171.795657641,2213.50407084
8.25,12.960996887,161.080054924,2273.56706929
8.5,13.7848982762,153.912937112,2513.80489607
8.75,14.3422779738,153.98935421,2790.29683973
9.0,14.9280556142,173.174141863,2938.43778142
9.25,14.2029239487,175.713154215,2925.48525597
9.5,14.1111528307,184.3783594,2833.0908744
9.75,14.8918930192,181.342515088,2908.74523822
10.0,14.8921144489,163.126370737,3139.89740109
