,L1NN,L2NN,RIDGE
0.0,4.46850127644,5.10183416356,49.7226941491
0.25,31.5745309846,57.7290268611,59.8617726186
0.5,43.6491229424,86.7244080622,84.2530471935
0.75,41.7301637035,94.5807647396,129.208371539
1.0,44.9313608861,94.8706936094,180.215857806
1.25,61.1996600521,115.18762414,251.066361183
1.5,70.7463466326,130.309729416,332.661503376
1.75,70.6612445446,131.342216752,446.410107736
2.0,80.1209008024,131.151542365,542.507695084
2.25,73.904902915,121.585104415,608.679168277
2.5,77.5363378718,122.938486027,673.834316786
2.75,83.8832696557,130.731799712,695.833649991
3.0,77.3632004036,123.572997179,833.619411288
3.25,75.6364822449,117.483443474,976.402425212
3.5,75.8198048039,113.785860649,1199.24674161
3.75,80.7225046593,121.641983246,1317.50176576
4.0,91.3664330485,135.522153036,1410.72159051
4.25,77.3455217755,120.939592179,1478.15139756
4.5,68.4027812744,112.317804753,1563.08870583
4.75,57.9207549073,96.1828787774,1813.42184183
5.0,62.3786916918,101.789321436,2138.98675237
5.25,65.7632198435,108.523478007,2223.83346969
5.5,68.6347170954,108.221468855,2256.4584382
5.75,65.670762539,98.365313826,2411.71648792
6.0,70.8101443507,109.097221021,2543.46872883
6.25,72.0852502423,110.057775548,2622.37459031
6.5,73.3756847038,111.703519497,2705.83359781
6.75,82.2215689549,115.644379887,2783.37370617
7.0,77.2001224276,108.50407213,2976.8156161
7.25,78.6644101862,111.072851157,3065.46333805
7.5,74.8535337451,109.62608909,3097.00148586
7.75,84.5568090639,127.211228725,3065.21402162
8.0,90.3565051168,130.584158006,3209.47959525
8.25,78.47026602,115.726293083,3322.25408478
8.5,78.076761013,114.342796996,3565.22697456
8.75,80.9073593643,122.583939001,3965.43870014
9.0,81.0705252798,118.589133772,4207.45276793
9.25,88.8982070354,117.14594772,4387.55487335
9.5,92.91508694,122.42706295,4261.47115938
9.75,92.4641522666,118.292925094,4287.36420136
10.0,87.8143198419,108.899780998,4665.00360934
