,TrainL1,TrainL2,TrainRR,TestL1,TestL2,TestRR,CVL1,CVL2,CVRR
346,0.968208092486,0.970134874759,0.943159922929,0.775362318841,0.601449275362,0.358695652174,0.915221579961,0.931599229287,0.932562620424
462,0.979797979798,0.975468975469,0.948051948052,0.833333333333,0.70652173913,0.376811594203,0.94733044733,0.944444444444,0.94227994228
578,0.983852364475,0.979815455594,0.953287197232,0.81884057971,0.684782608696,0.358695652174,0.945213379469,0.948673587082,0.945790080738
693,0.981240981241,0.987012987013,0.945165945166,0.822463768116,0.70652173913,0.376811594203,0.960076960077,0.966810966811,0.939393939394
809,0.986402966625,0.990111248455,0.953440461475,0.815217391304,0.70652173913,0.416666666667,0.961269056448,0.971981870622,0.949732179646
925,0.993513513514,0.990630630631,0.958918918919,0.81884057971,0.70652173913,0.405797101449,0.965765765766,0.971531531532,0.952072072072
1040,0.992307692308,0.992628205128,0.957371794872,0.811594202899,0.70652173913,0.402173913043,0.969551282051,0.974038461538,0.946474358974
1156,0.991349480969,0.993944636678,0.95645905421,0.822463768116,0.70652173913,0.420289855072,0.979238754325,0.9815455594,0.951557093426
1272,0.994758909853,0.993972746331,0.958595387841,0.822463768116,0.70652173913,0.496376811594,0.977201257862,0.982442348008,0.952830188679
1387,0.995914443643,0.994953136265,0.957221821677,0.836956521739,0.70652173913,0.503623188406,0.986301369863,0.988464311464,0.951934631098
1503,0.995120869372,0.996451541362,0.960745176314,0.836956521739,0.70652173913,0.525362318841,0.987358616101,0.986915058771,0.956309603016
1619,0.994646901379,0.996088120239,0.959645871937,0.840579710145,0.70652173913,0.532608695652,0.98908791435,0.992382128886,0.953675108091
1734,0.995963091119,0.996347558631,0.963667820069,0.833333333333,0.70652173913,0.536231884058,0.988465974625,0.988850442138,0.959246443676
1850,0.996036036036,0.997477477477,0.961621621622,0.833333333333,0.70652173913,0.572463768116,0.99027027027,0.98972972973,0.958378378378
1966,0.997456765005,0.997626314005,0.963207867074,0.829710144928,0.70652173913,0.572463768116,0.993726687013,0.993726687013,0.95981688708
2081,0.996956591382,0.997116770783,0.963639275989,0.829710144928,0.70652173913,0.601449275362,0.994233541567,0.994073362166,0.960115329169
2197,0.996662115005,0.996813837051,0.963283265058,0.826086956522,0.70652173913,0.608695652174,0.994538006372,0.996055226824,0.959945380064
2313,0.996973627324,0.996973627324,0.963683527886,0.826086956522,0.70652173913,0.608695652174,0.99495604554,0.996253062401,0.962530624009
