,L1NN,L2NN,RIDGE
0.0,2.84083921911,4.43469963145,0.439813751565
0.25,3.24651454005,10.3324504551,22.2086976573
0.5,3.40776766597,23.2597864227,49.5415878585
0.75,3.59754604811,43.5126606565,85.2853908579
1.0,3.8900055499,53.2144111334,123.142682996
1.25,3.86778890763,93.0486636064,193.011215343
1.5,4.31010944509,106.02071337,208.550116282
1.75,4.46826389304,129.438391022,268.701148736
2.0,4.77687825493,130.84036992,340.650081449
2.25,4.45983749015,123.338405781,395.697769348
2.5,4.49978490756,118.640344383,419.446439315
2.75,4.31075061183,136.314884741,531.478329893
3.0,4.69969625652,126.268523439,578.931119994
3.25,5.18716874465,120.273183384,587.274281119
3.5,5.5934485534,127.109073168,685.691475101
3.75,5.69418575526,142.807259136,827.41529273
4.0,5.97085957443,152.606024807,865.235139185
4.25,6.04009955366,154.171586693,988.596222365
4.5,5.94696646545,166.625165544,1136.07448362
4.75,6.77745678992,170.989982285,1211.50559754
5.0,7.65092203175,179.0369684,1322.41264413
5.25,8.31916261506,157.602602491,1357.62198292
5.5,8.60906215717,161.99588331,1508.65642601
5.75,8.64454566643,172.148065209,1599.11161103
6.0,8.56657712906,171.489509565,1767.89949764
6.25,9.39292411251,175.436331605,1850.4620895
6.5,9.91247755186,160.505053139,1872.52166046
6.75,9.92484022525,169.602665805,2156.74882171
7.0,10.3550772587,159.277033883,2315.86844474
7.25,11.4147709455,157.133592086,2579.20332451
7.5,11.7983219068,165.646130651,2947.49039662
7.75,11.8991866496,164.72549158,3043.3173529
8.0,12.6235817286,163.231781534,3202.45657407
8.25,13.5432352936,177.552897966,3312.99741469
8.5,14.3598602078,181.592613685,3346.57886636
8.75,14.989057578,190.798522285,3332.89384212
9.0,14.9559468162,202.180484662,3474.17005669
9.25,14.736351333,208.699611405,3754.6165135
9.5,14.1379527812,203.002328918,3940.66597512
9.75,15.7684059122,192.214348031,3911.44322745
10.0,17.252649518,191.530244013,3944.31227114
