,L1NN,L2NN,RIDGE
0.0,2.35720093582,5.2823090183,60.5435453493
0.25,50.0007318651,92.9518127202,101.337736122
0.5,56.6381475111,115.944270391,193.008073685
0.75,66.4216397006,117.411427132,360.697897416
1.0,62.8323156007,115.056423899,533.399362364
1.25,71.0837947956,126.253163919,717.993998894
1.5,77.757078665,124.999696548,950.499543643
1.75,73.7750418785,114.492255387,1154.13985383
2.0,84.0515743901,122.111035041,1431.66950482
2.25,84.2988398444,122.129335194,1564.39544587
2.5,81.8829581324,115.875866225,1773.05611239
2.75,79.5509145467,117.176703668,2155.69702276
3.0,79.9457751376,123.725454079,2625.02730323
3.25,80.0260660746,118.769127894,2815.69444014
3.5,83.3410550324,121.467877219,2935.78290857
3.75,80.471232993,118.001362134,3018.05106846
4.0,87.0365244097,124.467230919,3529.97521471
4.25,93.5580322089,129.950160716,4202.77016582
4.5,101.17927789,136.303075356,4378.96114174
4.75,100.202056376,145.002537868,4644.64138868
5.0,98.382798355,142.608210505,4906.96971453
5.25,94.4503346188,129.866700933,5217.85892535
5.5,97.9015596687,134.877248931,5707.63432251
5.75,102.979693438,136.355856663,5921.30050864
6.0,104.783015822,139.132662343,6376.43912259
6.25,97.1646990853,127.657559159,7100.32552142
6.5,92.3668572392,124.809796691,8308.15450005
6.75,95.2917920165,128.045160924,8936.63142719
7.0,98.0220834426,135.298915273,9048.40963426
7.25,97.8947831267,129.498413365,8554.34763091
7.5,107.312266522,141.699592196,8883.89744533
7.75,117.768141492,149.693037334,8969.14751779
8.0,124.388146699,153.617092556,9349.73300051
8.25,119.766382516,152.246030359,9779.85159011
8.5,118.573452839,148.212303962,9842.15387849
8.75,120.265211658,155.015989897,9914.63883713
9.0,123.069759936,160.121359814,11097.1420463
9.25,132.054392186,162.581404417,10988.8691002
9.5,135.269849847,165.613783542,11027.1947591
9.75,132.13110513,164.383269959,12262.134113
10.0,130.972532406,160.713796678,13198.0657811
