,Percent Error,kNN Score,kNN Std,DTree Score,DTree Std,SVR Score,SVR Std
0.0,0.0,0.9991908976299566,8.305779304750829e-05,0.9999788517487664,3.1489762487671235e-06,0.9992812312299668,0.00018406426922097164
0.1,0.1,0.999190370759172,8.525823468093097e-05,0.9999733365382355,2.620334634259011e-06,0.9992811000902382,0.000184961240031938
0.2,0.2,0.9991934904387204,8.600331404071024e-05,0.9999698651924362,2.150699949564005e-06,0.9992847922047522,0.00018501425922277427
0.3,0.3,0.9991910459325485,8.160739197012718e-05,0.9999626108767167,5.119963430796329e-06,0.9992837151839152,0.00018499014331941545
0.4,0.4,0.9991911274403467,7.57807290444793e-05,0.9999566838859938,8.614494624308282e-06,0.9992763505761675,0.00019156920677117513
0.5,0.5,0.9991850752928692,8.730024090126451e-05,0.9999481519874724,2.8415130476888455e-06,0.9992744162465371,0.00019039119999369713
0.6,0.6,0.9991830962189869,8.228192094475136e-05,0.9999314975086986,5.463948920049666e-06,0.9992693125373406,0.000192295102378892
0.7,0.7,0.9991798331977689,8.092175521000999e-05,0.9999124230073088,4.925790342627567e-06,0.999257592520682,0.0001955305831665738
0.8,0.8,0.9991803515902923,7.533426738601474e-05,0.9998975311849438,8.008785466311788e-06,0.9992506269490935,0.00018774320942860123
0.9,0.9,0.9991823277356249,6.979652206652755e-05,0.999856469220995,1.6913711987041558e-05,0.9992376016933617,0.00018823810046999945
1.0,1.0,0.9991654819211181,7.251769477430837e-05,0.9998273959145532,3.163972461094455e-05,0.9992147822302744,0.00019451232232939759
1.1,1.1,0.9991589647824372,7.091966456866657e-05,0.9997941030363672,2.3203315785560696e-05,0.9991876019353153,0.0002015899473502357
1.2,1.2,0.999148779186959,7.355248280448762e-05,0.9997317098290444,2.289376108425692e-05,0.9991674272072386,0.00021591372456012406
1.3,1.3,0.9991372151514838,7.941542944616939e-05,0.9996955953379872,2.220269553604614e-05,0.9991655062923863,0.00022617653226330323
1.4,1.4,0.9991317976025906,8.664004254375541e-05,0.9996797682705605,2.734994223698781e-05,0.9991318681845351,0.00022215168233814895
1.5,1.5,0.9991193780166002,8.444927284008835e-05,0.9995757348628651,3.775901060781511e-05,0.9991322136913124,0.00022027548306922487
1.6,1.6,0.9991042582715262,9.106591894725046e-05,0.9995353164397297,3.466079962797956e-05,0.9990932253131592,0.00021479398967842026
1.7,1.7,0.9990867396306431,9.21565033288543e-05,0.9994811255527614,3.654662891673985e-05,0.9990422155254868,0.00023849164957175835
1.8,1.8,0.9990673966749088,9.01828027003183e-05,0.9994024244893558,4.7740815463206537e-05,0.9990358691772773,0.00023494957026908212
1.9,1.9,0.999051253190111,0.00010062561871405554,0.9993434001145074,7.488678662523984e-05,0.9990177932754041,0.0002192111287018766
2.0,2.0,0.9990411790189849,0.00010118574410192022,0.9992418984265148,7.31031950969675e-05,0.9990021520835489,0.00024033200966079772
2.25,2.25,0.9990393369177735,9.272736225675997e-05,0.9991536732690054,4.270591679052364e-05,0.9989579663323325,0.0002593513949642919
2.5,2.5,0.9990168272969873,0.0001026380060047148,0.9990200104898783,0.00012581740827259736,0.9989377314487753,0.00026319310375863363
2.75,2.75,0.9989844746342131,9.61568907482456e-05,0.998946324881366,5.123792743445442e-05,0.9989209882421675,0.0002720627026497929
3.0,3.0,0.9989416036069301,6.88858870591577e-05,0.9987923947720428,0.0001184898916694522,0.998896259394599,0.0002731540196198043
3.25,3.25,0.9989032964970648,8.781159237967148e-05,0.998604533260633,6.835742583650558e-05,0.9988734914927464,0.0002681836398654928
3.5,3.5,0.9988401896527517,7.926036881808764e-05,0.9984016836817375,0.0001606576220497295,0.9988107602458267,0.00027449655151178394
3.75,3.75,0.9987682865542293,9.316771537065872e-05,0.9982518428698673,0.00011902402964194232,0.9986946072194789,0.0002913738713838287
4.0,4.0,0.9987443771499784,6.688000226109806e-05,0.9980000128898924,0.00022284124938996892,0.9986064584930091,0.0002721524180256455
4.25,4.25,0.9986741096796251,4.5249813419739436e-05,0.9977764147893844,0.00027173158783159584,0.9984740501070478,0.00026676361361063327
4.5,4.5,0.9985826795958843,5.7735155376868905e-05,0.9975719745162793,8.64774681639225e-05,0.9983467583601833,0.00030462810795461127
