,fit_time,score_time,test_explained_variance,test_neg_mean_absolute_error,algorithm
0,0.19693613052368164,0.339963436126709,0.994242812975228,-7.827095300243734,knn
1,0.1926875114440918,0.3333852291107178,0.9963831758660308,-7.0240508833957875,knn
2,0.19269323348999023,0.3361389636993408,0.9978460216721758,-4.317007522509039,knn
3,0.1920943260192871,0.3347470760345459,0.9985832718994752,-4.683720100219736,knn
4,0.19217729568481445,0.34052562713623047,0.9847360632596114,-11.498626711743462,knn
5,0.1976780891418457,0.3233358860015869,0.9970649674044655,-4.945459034547836,knn
6,0.1928844451904297,0.3357057571411133,0.9969189093978557,-5.5602730054684795,knn
7,0.19743132591247559,0.3352668285369873,0.9981213357622241,-5.165743349689803,knn
8,0.19239211082458496,0.3434784412384033,0.9955082241136762,-5.615253681088582,knn
9,0.20243334770202637,0.3405442237854004,0.999531795372796,-2.7275224545698693,knn
0,0.020614147186279297,0.008919954299926758,0.9457882921823383,-113.82978841441363,rr
1,0.03145289421081543,0.0018644332885742188,0.9420022323885162,-119.61331195952476,rr
2,0.032547950744628906,0.001863718032836914,0.9477170755449922,-119.2700977342366,rr
3,0.037637948989868164,0.0076122283935546875,0.9365057050867629,-119.20518432540203,rr
4,0.030863285064697266,0.003048419952392578,0.9354941419443052,-122.18357407998863,rr
5,0.03216147422790527,0.002862215042114258,0.9402555496660376,-124.96571856203352,rr
6,0.030170679092407227,0.001556396484375,0.948859855084253,-111.96662197347106,rr
7,0.02210855484008789,0.0016257762908935547,0.946380784354111,-117.48420545701033,rr
8,0.018177509307861328,0.0015423297882080078,0.9519352669657538,-107.36101521806307,rr
9,0.01798272132873535,0.0015420913696289062,0.9412524993933369,-124.37376608206344,rr
0,18.68331480026245,2.164907455444336,0.8692513910739903,-101.25409851507662,svr
1,19.220489025115967,2.1817102432250977,0.8786918949549865,-99.049483194572,svr
2,19.311640977859497,2.4979896545410156,0.8377292881319633,-119.094978433697,svr
3,18.876925468444824,2.18705153465271,0.8385751009465727,-117.82731986713101,svr
4,18.609499216079712,2.132491111755371,0.847920924717909,-116.73969510501257,svr
5,18.927586793899536,2.136711597442627,0.8405278286179783,-111.00501154592541,svr
6,18.91234850883484,2.182236433029175,0.8424068912320054,-109.40578755429505,svr
7,18.672860622406006,2.2036731243133545,0.8666523985957079,-101.40772853865136,svr
8,18.130408763885498,2.1540422439575195,0.8413130367831507,-129.41326041627892,svr
9,18.481944799423218,2.1433591842651367,0.8258449006745918,-117.64690963372371,svr
