,CVL1,TrainL1,CVL2,TrainL2
1,10245.758846516874,0.0,52501.31876360184,0.0
2,18909.372637857887,19968.113935194233,60127.37468665047,19021.767790074588
3,36417.8335743615,48822.431807883666,79147.0756496224,46215.866171099035
4,51699.06004338237,58543.54859051905,94019.65761505644,62936.29108100941
5,61605.77372449787,68754.90609106679,103056.35634503429,72782.90598931846
6,77960.92476594125,83976.47395165116,121111.98677593312,89042.30368892416
7,93753.55836054582,93966.14300555753,137957.97206955196,101011.89903673112
8,111272.55076841667,108272.98275248475,157241.4436524884,118970.81087952675
9,127702.43256687406,118604.75024495984,172548.82139088731,131183.55956997108
10,145872.0143334604,133130.54189713,191441.3942527261,146685.22486242146
11,165853.7060501609,147693.90674211926,211250.41804819315,164176.64535068025
12,185835.528143309,164678.61280037815,234450.8793529544,183530.31338493334
13,196105.59912075836,174980.18671877505,246549.80916279583,196945.50662897003
14,209949.1735183739,188256.36330158357,260066.62856866303,212617.11057085582
15,225057.50806124223,203254.65842537675,275159.944437906,228976.01679104133
16,239842.01203605867,217221.67231438577,290523.8128135635,246231.63002936187
17,253886.65709827823,230611.28600757572,304742.52221826336,261372.55238864236
18,268296.0168721375,245282.34155714288,320925.0690018715,276568.2409777669
19,277513.6344514818,253179.50598995184,331024.0611456984,287731.3413132881
20,288414.03745181096,264236.7190036042,342714.6852847454,300944.02400835225
21,298229.5940464099,274331.2775086913,354316.81673982943,311639.927657904
22,309067.41193066176,284959.57754091086,367456.7093871002,324524.4116699818
23,319952.661508059,294968.12090778333,380709.687807343,336552.8276155844
24,331776.2728210054,305964.54590676085,395114.51858762646,349022.7339105411
25,338294.26117935585,314327.2690900652,402041.8123745897,357197.57732540957
26,346323.8691955753,323300.4614398449,411172.6728394638,366376.7655159838
27,355775.4648319275,331604.3689336616,420912.03513014124,375691.6770772781
28,365828.7244394369,340077.79750514915,432990.6046476856,385745.6436088542
29,376367.15686194744,347718.07425137097,444695.5717445948,395070.3431549718
30,387534.9900611659,356261.3079040845,458841.08367585007,405298.7714871511
31,391446.2306843348,362661.63568486803,460780.0925085872,412887.039623995
32,396160.54757447826,369621.91290433105,465496.81985820143,421809.0548777356
33,400650.4660358523,376684.50314256194,470708.29492007854,430646.0211050117
34,406403.2329338914,385529.5942544416,477497.883845437,440039.7344598265
35,413402.008791078,393188.64444933593,484065.3523698589,449324.5297554494
36,420535.2754339462,402603.533519342,493260.06865780475,459443.8864402755
37,423138.80887176783,407233.1646414791,494446.10510614817,463449.75301678386
38,426612.2574248303,413229.5769877444,498269.3625041315,470751.9813689355
39,431220.8931214231,419187.5277146297,502749.76410170796,477862.00144091755
40,435834.6283230467,425551.9253171018,508498.9352829193,485845.49263418734
41,441226.3249514995,432582.7928968331,514035.87970589026,493692.17327738967
42,447467.28209621203,440367.2541040231,521607.2024124186,503957.82422991
43,450138.8060375419,442632.4939254043,522975.9349653645,503030.19583154266
44,453912.19030926755,444856.6112180086,526585.0561396593,504636.62976358476
45,456711.7354533911,446396.60293210077,530017.3328656333,507406.67413058266
46,461117.18399955146,449650.82203155634,534702.3463125682,511138.67048636446
47,466078.49461001257,453420.8181178317,540131.7880848432,515160.39415156806
48,471393.23662122845,457583.5510299309,547592.9407479627,521198.9715204113
49,472493.2995407389,460168.14488425927,546424.0593121179,522976.42344182584
