,TrainL1,TrainL2,TrainRR,TestL1,TestL2,TestRR,CVL1,CVL2,CVRR
346,0.433378381599,0.851229170612,0.106474025379,2.64940027132,5.70373578915,0.491134245592,0.959565698793,1.51989352661,0.12344578074
462,0.262081650649,0.506486422609,0.0952221706463,3.3764818078,5.00519835045,0.48236620268,0.538706432894,1.00790512765,0.111243240866
578,0.169281947642,0.385040563979,0.0889244803629,3.27393931734,4.68731392291,0.480848155044,0.343562444183,0.724378527488,0.102703127623
693,0.105809696785,0.252955202632,0.0765889283403,2.99730634132,4.67274974332,0.478264733489,0.340819723467,0.591187769958,0.086929507179
809,0.107573366268,0.190659563789,0.072959756643,2.6923176811,4.71960583673,0.466301342789,0.259242676874,0.516118529967,0.0828532793563
925,0.0593739989498,0.17271685921,0.0755034252205,3.11537569864,4.55698351522,0.47412818961,0.189843946356,0.398180075391,0.0852720649673
1040,0.031175559606,0.0950109630054,0.0589899578071,2.73237149135,4.4654010254,0.473324252502,0.159904465627,0.383729107724,0.0657957690779
1156,0.030910603241,0.0420339943892,0.0603107192402,2.62600492651,4.66955215018,0.471341102773,0.123900000779,0.336392345062,0.068242825431
1272,0.0242752063952,0.0595467429155,0.057628420337,2.67065571796,4.71546790811,0.461207705927,0.10597562542,0.272933682356,0.0642813980788
1387,0.0101661148354,0.0470424778949,0.0549147959161,2.77716627939,4.49608070562,0.458810235585,0.101631316903,0.24850354546,0.0619944997144
1503,0.00851243022206,0.0442282476565,0.052684176926,2.83991321153,4.7204742575,0.450664869532,0.0454265776083,0.143843334729,0.0584648125675
1619,0.00475155614725,0.0214655695898,0.0512847241226,2.84069847249,4.46965661819,0.451110092745,0.0535060237578,0.102060076833,0.0570235393266
1734,0.00554907110363,0.0227591828562,0.0503623959708,2.84083921911,4.37159256396,0.444317089737,0.028758904222,0.0953291871338,0.0561980736501
1850,0.00191821353795,0.00995450363763,0.0507004375926,2.83219770653,4.47981615664,0.444075250494,0.0337169047011,0.075940086555,0.0564035479016
1966,0.00233867180159,0.0127013951729,0.0476709812467,2.85634535493,4.47114464423,0.444005377234,0.0127866970821,0.0528493163412,0.0529465593784
2081,0.00456737815976,0.00614458617074,0.0458706656505,2.84285210156,4.42276442258,0.441846120698,0.0143495059437,0.0366557241394,0.0512850033805
2197,0.00240529526295,0.00199314872997,0.0449312581706,2.88692617563,4.43469963145,0.440029409891,0.0103777269338,0.0460027489688,0.0501548701281
2313,0.00253945192092,0.00138361891872,0.0442688985194,2.84083921911,4.43469963145,0.439812935869,0.00660802819243,0.0365608157447,0.0494756434382
