,TrainL1,TrainL2,TrainRR,TestL1,TestL2,TestRR,CVL1,CVL2,CVRR
346,7.31679422957,3.70589219172,14.3778105245,14.2796370629,16.6392971666,67.0626444685,13.0735616944,8.19935901366,15.2531880059
462,4.22124656005,2.55917897421,11.0015391645,24.3891908714,9.95589552465,49.6999807638,9.00205341379,5.90565017195,11.3249798703
578,3.82037352266,2.61005296638,10.2339148822,20.8101147743,19.9500049638,54.6800474832,7.1852722732,4.10385787252,10.613391144
693,3.18302559174,2.11537985993,11.2861851178,18.2804373224,19.0379632888,61.5227630285,5.44948140365,3.33541708848,11.6220078917
809,3.0571324994,1.64930061659,10.330621989,12.8551962629,7.91138988707,52.0721493021,6.25250291105,3.65754741809,10.5955156343
925,1.49196190378,0.722845027747,11.8958910023,10.9010363688,8.09657321707,60.7244299088,4.96784223402,2.70722013895,12.1613141815
1040,1.74565733118,1.11174348901,11.1247014597,4.03894712693,4.37642843325,67.4991266427,4.00410785638,2.09405161884,11.4007548331
1156,1.16894702901,0.408502057639,12.0548494632,2.21048685047,5.13489367068,57.4532657791,3.81012573388,1.35415348361,12.3226704254
1272,0.963014904873,0.434686721275,11.173193526,3.69865615491,5.29102470654,60.2929641113,3.31222403716,1.45156740616,11.3961982469
1387,0.712468595948,0.404699036547,11.0992315475,2.6515618199,5.42070813672,58.3582368629,2.81149889194,1.22087447742,11.3270714587
1503,1.0052198727,0.359957844295,11.0667826336,3.29341896935,5.04007299346,60.8174359188,2.34764676986,0.831883586873,11.374045891
1619,0.547361470061,0.337076388699,11.1529715281,2.36099051569,5.07052781213,62.5530762593,1.52919143375,0.660517964054,11.3513971567
1734,0.747186082755,0.316263034889,10.8494587708,2.8238322928,5.18894095579,59.3344278564,2.14822442507,0.648076352632,11.1449652731
1850,0.578490348394,0.33108799895,11.0976330317,3.13582836849,5.08054584459,62.8084223991,1.27300092114,0.809058572358,11.3326525054
1966,0.504505769988,0.292138336795,11.2042080164,2.50755433055,5.34442081954,57.7420747525,1.05532034088,0.471758737654,11.4205678951
2081,0.506412052966,0.282976439996,10.9979720827,3.03399334131,5.2823090183,59.0072055073,0.84288564731,0.495393881762,11.1988886349
2197,0.506219776527,0.274469133381,10.9700938866,3.02649708943,5.2823090183,62.5442276055,0.919176819078,0.499955927068,11.1668530616
2313,0.405865120215,0.250549061196,11.1772011508,2.35720093582,5.2823090183,60.5430804544,0.740716217333,0.483399457959,11.3800642992
