TrainSizeFrac,AbsTrainSize,TrainScore,CV-Score,Algorithm
0.1,176,0.9999999999991269,0.8361687501598473,dtree
0.2,353,0.9999999999990319,0.9469867332177125,dtree
0.3,530,0.9999999999988864,0.9598918130241051,dtree
0.4,707,0.9999999999989436,0.960525689966555,dtree
0.5,884,0.9999999999988491,0.9862536613349235,dtree
0.55,972,0.999999999998814,0.9760690079875521,dtree
0.6,1061,0.9999999999988068,0.977757103358113,dtree
0.65,1149,0.9999999999988027,0.9871922846905866,dtree
0.7,1238,0.9999999999987397,0.9867179221999821,dtree
0.75,1326,0.9999999999987261,0.9898006551960702,dtree
0.8,1415,0.9999999999986728,0.9961974993217831,dtree
0.85,1503,0.9999999999986743,0.9927865954398805,dtree
0.9,1592,0.9999999999986098,0.9900425825758272,dtree
0.95,1680,0.9999999999986061,0.9898601078513474,dtree
1.0,1769,0.9999999999985685,0.9930800702488302,dtree
0.1,176,0.9999999999995239,0.8720197779490226,xtree
0.2,353,0.9999999999992681,0.9283258927253858,xtree
0.3,530,0.9999999999990319,0.9457533107079399,xtree
0.4,707,0.9999999999990259,0.977589444162736,xtree
0.5,884,0.9999999999989445,0.9841616328315306,xtree
0.55,972,0.9999999999988806,0.9907818377934753,xtree
0.6,1061,0.9999999999988571,0.993683832007599,xtree
0.65,1149,0.9999999999988436,0.9899746844171802,xtree
0.7,1238,0.9999999999988167,0.9966610777575319,xtree
0.75,1326,0.9999999999987752,0.9904220143552592,xtree
0.8,1415,0.9999999999987491,0.9995738132101654,xtree
0.85,1503,0.9999999999987296,0.9944081473770157,xtree
0.9,1592,0.9999999999987146,0.9972124015135645,xtree
0.95,1680,0.9999999999986754,0.9997068401214042,xtree
1.0,1769,0.9999999999985819,0.9967025235307705,xtree
0.1,176,0.93479026346947,0.9184718575008226,bayes
0.2,353,0.9315770090901442,0.9258094529892398,bayes
0.3,530,0.9299554193109161,0.9272634551445126,bayes
0.4,707,0.9318108688548005,0.9313954475852487,bayes
0.5,884,0.9346924474309409,0.9332403402097077,bayes
0.55,972,0.9353730139196041,0.9339982633065516,bayes
0.6,1061,0.9352688273615059,0.9344411142275421,bayes
0.65,1149,0.935961692244058,0.9348987076417739,bayes
0.7,1238,0.9369946029309721,0.9352311539265091,bayes
0.75,1326,0.9372409650904133,0.9356280993052108,bayes
0.8,1415,0.9373719716286504,0.9355703560710966,bayes
0.85,1503,0.9370186941367414,0.9353712430074548,bayes
0.9,1592,0.9372855769302475,0.9356149721239166,bayes
0.95,1680,0.9377962040792529,0.9356426829822256,bayes
1.0,1769,0.937964042282022,0.9357483085717787,bayes
