,fit_time,score_time,test_accuracy,Algorithm
0,0.17747759819030762,0.0011644363403320312,0.9961202715809894,dtree
1,0.16227293014526367,0.0012440681457519531,0.9932038834951457,dtree
2,0.16260910034179688,0.0012350082397460938,0.9961127308066083,dtree
3,0.15862417221069336,0.001138448715209961,0.9941690962099126,dtree
4,0.1489877700805664,0.0011434555053710938,0.9941634241245136,dtree
5,0.1647934913635254,0.001195669174194336,0.9902723735408561,dtree
6,0.16345643997192383,0.0011494159698486328,0.9902723735408561,dtree
7,0.16482925415039062,0.0012056827545166016,0.9873540856031129,dtree
8,0.16571664810180664,0.0012459754943847656,0.9922178988326849,dtree
9,0.16943645477294922,0.001180410385131836,0.995136186770428,dtree
0,0.03137707710266113,0.0011649131774902344,0.9990300678952473,xtree
1,0.03217649459838867,0.0011477470397949219,0.9902912621359223,xtree
2,0.02850174903869629,0.0011568069458007812,0.9922254616132167,xtree
3,0.03034663200378418,0.001157522201538086,0.9931972789115646,xtree
4,0.03052806854248047,0.0011548995971679688,0.9902723735408561,xtree
5,0.028608083724975586,0.0011169910430908203,0.9931906614785992,xtree
6,0.030416488647460938,0.0011200904846191406,0.9873540856031129,xtree
7,0.030611753463745117,0.001134634017944336,0.9892996108949417,xtree
8,0.029031753540039062,0.0011167526245117188,0.9912451361867705,xtree
9,0.031004905700683594,0.0012285709381103516,0.9941634241245136,xtree
0,0.017467737197875977,0.0020241737365722656,0.6188166828322017,bayes
1,0.017199039459228516,0.002026796340942383,0.6300970873786408,bayes
2,0.016359329223632812,0.0018279552459716797,0.6326530612244898,bayes
3,0.016008615493774414,0.0018432140350341797,0.6365403304178814,bayes
4,0.016280412673950195,0.0018260478973388672,0.6391050583657587,bayes
5,0.016060829162597656,0.0018820762634277344,0.6245136186770428,bayes
6,0.016065359115600586,0.0018420219421386719,0.6284046692607004,bayes
7,0.016120195388793945,0.0018200874328613281,0.6391050583657587,bayes
8,0.015991926193237305,0.0018415451049804688,0.6284046692607004,bayes
9,0.016077041625976562,0.0018227100372314453,0.6128404669260701,bayes
