TrainSizeFrac,AbsTrainSize,TrainScore,CV-Score,Algorithm
0.2,3967,0.994797406568799,0.91758807381604,knn
0.4,7934,0.9943515436315625,0.9417837988238402,knn
0.6,11901,0.9946526894915746,0.9533954200507964,knn
0.7,13885,0.9946574152143617,0.956318890363408,knn
0.8,15868,0.9945179865733074,0.9585002893168179,knn
0.9,17852,0.9942123576753559,0.9600456450394365,knn
0.2,3967,0.8769945357282701,0.8742338098479883,rr
0.4,7934,0.8776548942543639,0.8773904876885812,rr
0.6,11901,0.8783670311170935,0.8784656526482773,rr
0.7,13885,0.8786144762571633,0.8787659675094179,rr
0.8,15868,0.8786491546682784,0.878990079150285,rr
0.9,17852,0.8790107185795039,0.8791936836027281,rr
0.2,3967,0.8647747338982639,0.8618124266393382,svr
0.4,7934,0.8788375204399473,0.8763190642772811,svr
0.6,11901,0.884978065101766,0.8844737329146021,svr
0.7,13885,0.8883943591642606,0.8878365902553214,svr
0.8,15868,0.8906640619072913,0.8903659395677543,svr
0.9,17852,0.8930231522422879,0.8927947693463265,svr
