,fit_time,score_time,test_explained_variance,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_r2,test_neg_rmse,algorithm
0,0.11592864990234375,0.8733930587768555,0.9647852358535474,-723.7778418112093,-12246979.567025917,0.9647677998659686,-3499.568482974139,knn
1,0.1220850944519043,0.9340019226074219,0.9622998273330718,-721.174298846903,-12502691.305701708,0.9622927637339632,-3535.9144935506724,knn
2,0.11399292945861816,0.90183424949646,0.9662877287293034,-628.2582012682968,-11327951.426383242,0.9662674424917667,-3365.702218911121,knn
3,0.11443710327148438,0.83349609375,0.9528829786269915,-828.6628682541182,-16193675.705625683,0.9528079697987735,-4024.136641023225,knn
4,0.1142120361328125,0.8101446628570557,0.9548585538683757,-872.5429888535513,-15717360.694710558,0.9547490274737067,-3964.5126679972354,knn
0,0.01047968864440918,0.0026810169219970703,0.9723752907353219,-747.2125342162742,-9507367.114517394,0.9723656523929379,-3083.4018736644425,rr
1,0.013359308242797852,0.002760171890258789,0.9747636700482641,-699.5212086671476,-8530080.506924467,0.9747617713817143,-2920.6301557924903,rr
2,0.013270139694213867,0.002749919891357422,0.9680711374403962,-828.0507976552736,-10936437.961780837,0.9680659452407863,-3307.0285698464772,rr
3,0.013384103775024414,0.002759695053100586,0.9685004219769766,-785.9743931763372,-10987925.129080458,0.9684989539502409,-3314.803935239678,rr
4,0.013165473937988281,0.002780914306640625,0.9729366558457913,-687.5905968862517,-8988864.119384957,0.972936041229498,-2998.1434454316823,rr
0,12.516198873519897,7.133429527282715,0.9687360379828317,-503.1529906868388,-10579399.763374552,0.9687297714174444,-3252.598924456342,svr
1,12.984164953231812,6.829550743103027,0.9569058745991974,-546.649600092804,-14508910.59132647,0.9568194028014868,-3809.056391198018,svr
2,12.310609579086304,6.638488054275513,0.9614037982509512,-593.9408781551301,-13397590.82257517,0.9613279365497299,-3660.271960193009,svr
3,12.53281307220459,6.618703365325928,0.9628131916295138,-664.7128581756244,-13171090.952811034,0.9627905085787973,-3629.1997675535904,svr
4,12.41343069076538,6.6627068519592285,0.9824826663872939,-336.04791696162215,-5799663.979043711,0.9824696209697615,-2408.249152194123,svr
