,fit_time,score_time,test_explained_variance,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_r2,test_neg_rmse,algorithm
0,0.12271428108215332,0.9081227779388428,0.9998303928885508,-1.9019714814357225,-122.3782052956403,0.9998303675405986,-11.062468318401653,knn
1,0.11896061897277832,0.8291363716125488,0.9998698405296594,-1.9805888571944537,-89.35583269457396,0.9998694047609388,-9.452821414507627,knn
2,0.12057304382324219,0.8642170429229736,0.9998048515961531,-2.0815493402643273,-138.39630303614257,0.9998047788955368,-11.764195809155106,knn
3,0.11978888511657715,0.8089652061462402,0.99985884538216,-1.8846955002031347,-98.5552064380927,0.9998585779968282,-9.927497491215634,knn
4,0.11458873748779297,0.8185150623321533,0.9998709853086164,-1.9128576920414222,-83.84279446383191,0.9998708168485605,-9.156571108435292,knn
0,0.010275840759277344,0.002630949020385742,0.9925464299112735,-50.83247278351842,-5484.311636769197,0.99252587326265,-74.05613841383574,rr
1,0.013173103332519531,0.0026237964630126953,0.992588620309584,-48.692989025625224,-5018.545657400794,0.9925829003891015,-70.84169434309709,rr
2,0.01317286491394043,0.0026061534881591797,0.9925302946657311,-50.023507871685176,-5248.711357872143,0.9925298645822674,-72.44799070969562,rr
3,0.013124227523803711,0.002591848373413086,0.9930288890133134,-46.86829727983757,-4483.430131709936,0.9930222520251988,-66.95842091708806,rr
4,0.013113260269165039,0.0026335716247558594,0.9936302974819686,-47.44823763650687,-4485.230833853075,0.9936301317527845,-66.97186598754043,rr
0,23.20740509033203,6.990770101547241,0.9992007656517218,-12.134415376107617,-570.0472890673242,0.999171834934482,-23.875663112620018,svr
1,23.89172053337097,7.596419095993042,0.9994488903377752,-10.925989015050222,-386.95180389947177,0.9994379313684617,-19.671090562027103,svr
2,24.563172578811646,6.780553817749023,0.9994389617365198,-11.257790740229849,-420.3137228972464,0.9994252104933472,-20.501554158093636,svr
3,24.64739227294922,7.364603042602539,0.9993703766811841,-11.528747689571379,-428.5289219230055,0.9993490422741562,-20.700940121719242,svr
4,23.673126220703125,6.783855199813843,0.9994018800437899,-11.276899231907702,-419.9080974845092,0.9993950559570217,-20.491659217459897,svr
