,fit_time,score_time,test_explained_variance,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_r2,test_neg_rmse,algorithm
0,0.11524009704589844,1.030167818069458,0.9417911994606707,-0.19024492722411063,-0.10773135470887214,0.9417257282366744,-0.3282245492172579,knn
1,0.20255565643310547,1.0878124237060547,0.9234458895363988,-0.21762333139676568,-0.14326779231179515,0.9234391554369106,-0.37850732134503706,knn
2,0.11424565315246582,0.8490135669708252,0.9317293343151177,-0.20371105505574827,-0.12780415973001708,0.9317157344378701,-0.3574970765335251,knn
3,0.11262917518615723,0.8405089378356934,0.9321374871487985,-0.20607607570196493,-0.11993403787191304,0.9319447154503762,-0.3463149402955539,knn
4,0.11535525321960449,0.8401992321014404,0.9357539775443593,-0.1991106199640536,-0.11883484035303332,0.9355743374769587,-0.3447242961455333,knn
0,0.01099538803100586,0.0026900768280029297,0.8701140037589901,-0.3542124249257671,-0.24038843978150998,0.8700960731725318,-0.4902942379648266,rr
1,0.013289928436279297,0.0026595592498779297,0.8774732391798047,-0.34315593337655453,-0.21978499493942255,0.8774730492446793,-0.46881232379217863,rr
2,0.013327360153198242,0.002647876739501953,0.8629092364961699,-0.35721516611786297,-0.250680370814585,0.8629076664271076,-0.5006799085389636,rr
3,0.013242006301879883,0.0029304027557373047,0.8731957632583858,-0.35374867712109814,-0.23955407130159861,0.8731450218102158,-0.4894426128787711,rr
4,0.013364315032958984,0.0026302337646484375,0.8649568671347408,-0.3590182677281536,-0.24832299569109176,0.8648611198944617,-0.4983201738752825,rr
0,90.90274143218994,1.7232160568237305,0.981016307794165,-0.09491750141788087,-0.033787500284082145,0.9810053981044303,-0.18381376521926246,svr
1,95.57099151611328,1.7375917434692383,0.9809390815792061,-0.09529165076916113,-0.034636467043467026,0.9809379984077937,-0.18610875058273596,svr
2,92.82126569747925,1.7483463287353516,0.9834937123341985,-0.0928751027971091,-0.03092139325750295,0.9834427808943697,-0.17584479877864728,svr
3,91.46662998199463,1.7335283756256104,0.98123699267975,-0.09722652354523859,-0.03545782859524523,0.9811859352958548,-0.18830249227040313,svr
4,86.20288896560669,1.6838321685791016,0.980369397377455,-0.0989433611853519,-0.03625668263284688,0.9803693866287292,-0.19041187629149312,svr
