,fit_time,score_time,test_accuracy,algorithm
0,0.12923169136047363,0.21298766136169434,0.9918283963227783,knn
1,0.12787437438964844,0.21723723411560059,0.9933537832310838,knn
2,0.12695789337158203,0.2101573944091797,0.9938618925831202,knn
3,0.12700843811035156,0.20773959159851074,0.9938618925831202,knn
4,0.1268765926361084,0.20534873008728027,0.9938618925831202,knn
0,0.06303024291992188,0.004404544830322266,0.9703779366700716,rr
1,0.10140800476074219,0.004305362701416016,0.9739263803680982,rr
2,0.09951043128967285,0.004148960113525391,0.972378516624041,rr
3,0.10633730888366699,0.004164457321166992,0.9744245524296675,rr
4,0.10458564758300781,0.004214763641357422,0.9672634271099744,rr
0,0.34465837478637695,0.04331684112548828,0.9948927477017364,svr
1,0.35573244094848633,0.04443478584289551,0.9964212678936605,svr
2,0.32601165771484375,0.04327702522277832,0.9948849104859335,svr
3,0.34222960472106934,0.041261911392211914,0.9902813299232737,svr
4,0.36708664894104004,0.042587995529174805,0.9933503836317136,svr
