,fit_time,score_time,test_explained_variance,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_r2,test_neg_rmse,algorithm
0,0.1370081901550293,1.1422381401062012,0.9422589652182196,-598.4750782052989,-18833727.62850649,0.942258724796779,-4339.784283637436,knn
1,0.13706135749816895,1.1618213653564453,0.9463872121010032,-577.757061724452,-18740833.495380063,0.9463388498557014,-4329.0684327439385,knn
2,0.1370563507080078,1.1412193775177002,0.9659694985338211,-383.4540614984894,-11209113.802492969,0.9658730693467484,-3348.0014639323217,knn
3,0.25061964988708496,1.3687872886657715,0.9529824761294938,-535.0672890905207,-16629535.566201638,0.9529807270738632,-4077.9327564590417,knn
4,0.13670921325683594,1.2878074645996094,0.9487418249298905,-550.8953853692777,-17813912.558057096,0.9487364037454176,-4220.653096151957,knn
0,0.015142679214477539,0.0032532215118408203,0.9862618735971934,-411.2225135438922,-4784438.957755471,0.986248330558434,-2187.3360413424066,rr
1,0.013525724411010742,0.002641439437866211,0.9770333544855399,-540.7711948973235,-7947882.238827522,0.9770304321944744,-2819.1988647180465,rr
2,0.016317367553710938,0.0033538341522216797,0.973373848104545,-572.2680865011934,-9017956.387357205,0.9733459269483734,-3002.9912399734376,rr
3,0.013908147811889648,0.002637624740600586,0.9750055767870681,-567.5720175730706,-8405877.300029375,0.9749840360014563,-2899.289102526579,rr
4,0.014168024063110352,0.002662181854248047,0.9791379364763665,-489.70184540542084,-7027256.858762438,0.979134982701358,-2650.8973685834085,rr
0,16.77347993850708,6.5880982875823975,0.9641922601719791,-444.99867451384284,-12104012.088397905,0.963954920379973,-3479.082075547788,svr
1,17.557909727096558,6.604949235916138,0.9824609953794532,-362.9464235044437,-5831308.189846196,0.9824520699513692,-2414.810176772948,svr
2,17.67133069038391,6.602221965789795,0.9671184676958513,-412.1894180756319,-11357649.542302627,0.9669408999618793,-3370.1112062219295,svr
3,17.190671682357788,6.644164800643921,0.9684084603710335,-429.39893433015186,-11009966.024771398,0.9682223055544736,-3318.12688497161,svr
4,17.25774097442627,6.621471643447876,0.9592002398038177,-497.35689133634366,-14272548.106407449,0.9588841350150947,-3777.9026067922196,svr
