,fit_time,score_time,test_explained_variance,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_r2,test_neg_rmse,algorithm
0,0.13751435279846191,1.1375668048858643,0.999251291427981,-6.49099300482589,-550.6557990418316,0.9992054595940535,-23.466056316344076,knn
1,0.13789629936218262,1.1364524364471436,0.999252844026241,-5.91728096834574,-567.826646923533,0.9992112477313563,-23.82911343133716,knn
2,0.13742661476135254,1.161130666732788,0.9993532948033651,-5.678862956252259,-450.90318329579077,0.9993161923112059,-21.234480998974067,knn
3,0.13726472854614258,1.1266708374023438,0.9990307472396195,-6.409395770092445,-680.3380154097904,0.9989784468546247,-26.083289965220843,knn
4,0.13709354400634766,1.1856975555419922,0.9994596251155385,-5.443795513909481,-414.3008974699199,0.9994261864383315,-20.354382758264126,knn
0,0.017262697219848633,0.0020987987518310547,0.7938625596298869,-251.38498307494746,-135205.08744466488,0.793652625573303,-367.70244416466,rr
1,0.009886503219604492,0.0020210742950439453,0.7719795142007524,-273.25522414517087,-167055.40750488857,0.7714413176768242,-408.7241215109387,rr
2,0.009872913360595703,0.0020952224731445312,0.777842885994513,-278.5632802291063,-169700.3977283885,0.77696636419259,-411.94708122329075,rr
3,0.009881734848022461,0.0020554065704345703,0.8005049827622049,-249.38459441189755,-128465.59720949143,0.7995634941895673,-358.42097763592386,rr
4,0.010991334915161133,0.0026390552520751953,0.7725140923947332,-263.48138205589044,-152126.7955074869,0.7724017303635846,-390.03435170185577,rr
0,15.758953094482422,6.7596728801727295,0.8478982840552199,-123.47550158761558,-118253.07231191172,0.8360310805431731,-343.8794444451598,svr
1,14.199241638183594,6.6268391609191895,0.8592958632842014,-106.04750072166539,-96167.98288873301,0.851205823774796,-310.10963043532365,svr
2,14.51335334777832,6.598615646362305,0.8498112338483916,-121.27871560095666,-113836.6357781344,0.8383650071443451,-337.39685205723896,svr
3,14.516795873641968,6.594070196151733,0.858592212193293,-117.71332221789243,-105258.64362797674,0.8491893104690358,-324.435885234628,svr
4,14.971269845962524,6.585489988327026,0.8621982568103543,-113.37856191503712,-102017.06332004198,0.85228176134857,-319.4011010000466,svr
