,fit_time,score_time,test_explained_variance,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_r2,test_neg_rmse,algorithm
0,0.1388237476348877,1.1751296520233154,0.9463891064548919,-0.14971587288263444,-0.0998146485568831,0.9460601155619293,-0.3159345637262297,knn
1,0.13759350776672363,1.3049852848052979,0.9479539526407946,-0.1451632975523554,-0.09560460918340426,0.9475648295245637,-0.3091999501672086,knn
2,0.14020991325378418,1.3149945735931396,0.9493106030662509,-0.1502386190813633,-0.0933880870420846,0.948923112846413,-0.3055946449826708,knn
3,0.13555288314819336,1.3018527030944824,0.9489170960289449,-0.1480422642976146,-0.09412329812450501,0.9484992409205257,-0.3067952055109483,knn
4,0.13521051406860352,1.1724202632904053,0.9427116708261655,-0.15277542102397557,-0.10773499998928603,0.9423748526882613,-0.3282301021985735,knn
0,0.010122299194335938,0.002656221389770508,0.680679191212127,-0.5812437367476142,-0.5784478351975942,0.6804616103677313,-0.760557581776419,rr
1,0.013427734375,0.0028901100158691406,0.6821146635962736,-0.5901437383748749,-0.5936296189461691,0.6821142026906089,-0.7704736328688796,rr
2,0.013395309448242188,0.0026183128356933594,0.680901516155014,-0.5895054999930255,-0.5999729508353229,0.6808523493778933,-0.7745792088839739,rr
3,0.013515949249267578,0.0027282238006591797,0.6817676491598134,-0.5760005340830175,-0.5743754644757035,0.6817323029496336,-0.7578756259939381,rr
4,0.013789653778076172,0.002695322036743164,0.6783751134814311,-0.5897834034956999,-0.5905664877523584,0.6783690710928652,-0.7684832384329267,rr
0,64.47989320755005,4.901158094406128,0.9148659750097432,-0.24950623181400572,-0.1580656645515892,0.9144786604642856,-0.3975747282607249,svr
1,64.82810997962952,4.444837808609009,0.9228395859865257,-0.23694231738852586,-0.14046964135911075,0.9227744127382874,-0.37479279790186837,svr
2,64.09398674964905,4.307414770126343,0.9206493379014794,-0.24997756584855946,-0.14926177994021175,0.920574837838799,-0.3863441211410001,svr
3,56.253657817840576,4.275789737701416,0.9136318121587202,-0.25290945712228036,-0.15808545421277856,0.9134622865026347,-0.3975996154585396,svr
4,58.51981806755066,4.4013588428497314,0.9094495381807688,-0.25528198185067363,-0.16542958729877502,0.9092929114673425,-0.40673036190918305,svr
