,fit_time,score_time,test_accuracy,algorithm
0,0.14858174324035645,0.2919797897338867,0.9938712972420838,knn
1,0.14818954467773438,0.29442691802978516,0.9969325153374233,knn
2,0.14884471893310547,0.298168420791626,0.9964194373401535,knn
3,0.14825677871704102,0.2891550064086914,0.9959079283887468,knn
4,0.1486501693725586,0.2921156883239746,0.9969309462915601,knn
0,0.062349557876586914,0.004445552825927734,0.932073544433095,rr
1,0.10156869888305664,0.0044591426849365234,0.9330265848670757,rr
2,0.10155534744262695,0.00427699089050293,0.9324808184143223,rr
3,0.1055610179901123,0.004482746124267578,0.9294117647058824,rr
4,0.10151100158691406,0.004436016082763672,0.928388746803069,rr
0,0.6025228500366211,0.07994365692138672,0.9959141981613892,svr
1,0.5327906608581543,0.08170294761657715,0.9943762781186094,svr
2,0.5919039249420166,0.07563924789428711,0.9933503836317136,svr
3,0.526841402053833,0.0795297622680664,0.9918158567774936,svr
4,0.5374653339385986,0.08098316192626953,0.9953964194373401,svr
