,fit_time,score_time,test_explained_variance,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_r2,test_neg_rmse,algorithm
0,0.1537013053894043,1.3267643451690674,0.9565969285842204,-584.4939270646859,-15349706.310253683,0.9565680674482986,-3917.8701242197503,knn
1,0.1316087245941162,1.368091106414795,0.9627147830707202,-508.9633795788124,-12714959.713696748,0.9626016239753563,-3565.8042169609857,knn
2,0.16257548332214355,1.4622578620910645,0.9569213181625086,-512.0572268820724,-14486382.333768943,0.9569134184089333,-3806.0980457377796,knn
3,0.1337144374847412,1.635908603668213,0.9485781058855328,-642.3926855571312,-16774808.55331351,0.9485720915386623,-4095.706111687399,knn
4,0.13329339027404785,1.524543285369873,0.9700810849465464,-391.42500760577764,-10454983.750006704,0.9700686838820027,-3233.416730025176,knn
0,0.009975194931030273,0.002855062484741211,0.9690781869182288,-627.6620688192174,-11255725.554918896,0.9689883242280768,-3354.955373014505,rr
1,0.013784170150756836,0.0027971267700195312,0.9686944555197318,-646.2975637898593,-10540266.68441171,0.9686920268393464,-3246.5776880296135,rr
2,0.013613224029541016,0.0027909278869628906,0.9789405666356843,-512.0782530724633,-7104022.151648787,0.9789366308621119,-2665.337155342413,rr
3,0.013717412948608398,0.0027976036071777344,0.9777155241142332,-540.7521849464594,-7488212.122447727,0.9776181021080258,-2736.459779066326,rr
4,0.013682365417480469,0.0028717517852783203,0.9777184758330122,-544.5421595560097,-7445448.149924168,0.9777179831011986,-2728.6348509692843,rr
0,17.50951385498047,7.050671815872192,0.9630856731974866,-396.3991270347373,-12712532.479047412,0.9627084007975588,-3565.463851877819,svr
1,16.23315668106079,6.952516317367554,0.9620388405339567,-385.65774071764724,-12992087.019685287,0.9617757349708427,-3604.4537754957114,svr
2,16.694756984710693,6.804236173629761,0.9535822871100157,-508.8805772039936,-16178759.927721137,0.9530552732987576,-4022.282924872533,svr
3,16.866417169570923,6.759109020233154,0.9748501738368089,-345.64233999799666,-8796724.451710386,0.9746418181578209,-2965.927249901856,svr
4,16.40613579750061,6.918848514556885,0.9720112879734893,-310.0646823904108,-9395157.061315011,0.9717914614049823,-3065.1520453829057,svr
