,fit_time,score_time,test_explained_variance,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_r2,test_neg_rmse,algorithm
0,0.1362929344177246,1.6158778667449951,0.964835173180425,-60.97235063880207,-26006.345680809885,0.9628646333182349,-161.26483088637116,knn
1,0.1327040195465088,1.3961665630340576,0.9590564196483428,-57.785566062975434,-28487.035293749006,0.9571285841707162,-168.78102764750844,knn
2,0.13327288627624512,1.2950732707977295,0.9591013652131627,-62.06114089598208,-28700.81872920812,0.9576993436374593,-169.4131598465955,knn
3,0.1331648826599121,1.3331799507141113,0.9579032226211683,-59.12683198343709,-31061.199185043963,0.9557806352412092,-176.24187693350285,knn
4,0.1330852508544922,1.2684390544891357,0.963598166698544,-55.447922207387315,-27559.31477855379,0.9614850153721328,-166.0099839725123,knn
0,0.009890317916870117,0.002682209014892578,0.7718206021495472,-285.0624636570449,-154745.21721448045,0.7717908482676791,-393.37668616032704,rr
1,0.013641834259033203,0.0027921199798583984,0.7808034339577984,-276.66428589336977,-149593.0468529372,0.7807980945868294,-386.7726035449476,rr
2,0.013616561889648438,0.002796649932861328,0.7583775846651555,-286.38973767748104,-162733.52736478913,0.7583654146780843,-403.4024384715456,rr
3,0.013736486434936523,0.0028104782104492188,0.782880217241298,-286.2108937891919,-153248.81710383962,0.7828776291043762,-391.4700717856215,rr
4,0.013628482818603516,0.002735137939453125,0.7884920231834759,-286.15577961075155,-152481.67324393286,0.7884855696739164,-390.4890180836496,rr
0,14.128493785858154,7.803691864013672,0.8572385002013299,-123.16420790963139,-103919.21595377577,0.8475488043789143,-322.36503525316726,svr
1,14.6789231300354,8.789704084396362,0.8469538766662704,-123.6954370401741,-106440.63809894692,0.8366317524855578,-326.2524147020937,svr
2,13.664613008499146,7.463959693908691,0.8446008871241721,-135.62755401090038,-122389.50771144789,0.8334045803827932,-349.84211826400764,svr
3,13.166398763656616,8.68423843383789,0.8168392853250388,-146.5208485840039,-136262.35727434233,0.803311080467295,-369.1373149308294,svr
4,13.37093472480774,6.932633638381958,0.843528722289079,-134.35047553271752,-117687.41972274537,0.8317880107339855,-343.0560008551743,svr
