,fit_time,score_time,test_accuracy,algorithm
0,0.14990639686584473,0.3267946243286133,0.9872318692543411,knn
1,0.14406371116638184,0.3270246982574463,0.983640081799591,knn
2,0.1442253589630127,0.32557201385498047,0.9861892583120204,knn
3,0.143876314163208,0.3255946636199951,0.9831202046035805,knn
4,0.14423346519470215,0.327923059463501,0.9892583120204603,knn
0,0.06366586685180664,0.00444793701171875,0.8585291113381001,rr
1,0.10205936431884766,0.004340648651123047,0.8394683026584867,rr
2,0.10010623931884766,0.0043599605560302734,0.8419437340153453,rr
3,0.10219049453735352,0.004418373107910156,0.8572890025575448,rr
4,0.10257267951965332,0.004364967346191406,0.8460358056265984,rr
0,1.1415627002716064,0.1328721046447754,0.9902962206332993,svr
1,1.1388866901397705,0.13045215606689453,0.9902862985685071,svr
2,1.1346685886383057,0.13247156143188477,0.9923273657289002,svr
3,1.2223973274230957,0.1355113983154297,0.9918158567774936,svr
4,1.122046947479248,0.13055729866027832,0.991304347826087,svr
