,fit_time,score_time,test_r2,test_explained_variance,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_rmse,algorithm
0,0.002056121826171875,0.018408536911010742,0.946504905296703,0.9476857525736495,-0.09408516077525761,-0.04413080853806736,-0.21007334085520551,knn
1,0.002076387405395508,0.019258975982666016,0.9591748981413333,0.9629329956791879,-0.07565416385675038,-0.025470476680704617,-0.15959472635618202,knn
2,0.002119302749633789,0.01796436309814453,0.9656329000048772,0.9671676007097123,-0.07093939477810703,-0.024170947502093556,-0.15547008555376032,knn
3,0.0019774436950683594,0.018934011459350586,0.9028785223242125,0.9033600634461619,-0.09825406968107732,-0.06959165575538709,-0.26380230430264834,knn
4,0.0019545555114746094,0.018686532974243164,0.9668941290097811,0.9687860765845137,-0.06851681013184951,-0.020291196833369676,-0.1424471720792297,knn
5,0.0019655227661132812,0.017904996871948242,0.9133269878905136,0.919264136600697,-0.12281866697492601,-0.08216178556701678,-0.2866387719186237,knn
6,0.0019893646240234375,0.018294811248779297,0.902855033928345,0.9036453224327917,-0.10370933100152561,-0.0746683315620812,-0.27325506685527573,knn
7,0.0020084381103515625,0.018219947814941406,0.9254120094105257,0.9291454297491724,-0.08103093635643577,-0.0369271624237948,-0.19216441508196777,knn
8,0.002001523971557617,0.017912626266479492,0.9461999362133005,0.9486162761980202,-0.08667535035788466,-0.03589214666170087,-0.18945222791432373,knn
9,0.0020246505737304688,0.01997852325439453,0.9335548043195612,0.9388360873033388,-0.09860957463089695,-0.046767482464003605,-0.2162579072866553,knn
0,0.0019080638885498047,0.0014438629150390625,0.7806404279842609,0.7807091981883464,-0.2808960825109142,-0.17239375217120737,-0.4152032660892823,rr
1,0.00247955322265625,0.0015790462493896484,0.7706599157465915,0.7706790800237447,-0.2789232709082837,-0.1764532664758406,-0.4200634076848882,rr
2,0.0025305747985839844,0.0016093254089355469,0.7565002225583558,0.7565140456515742,-0.2679153094654726,-0.1660068415477922,-0.40743937162207605,rr
3,0.0025658607482910156,0.001588582992553711,0.7844110252155869,0.7861149388556631,-0.2599203496604936,-0.13670133141277552,-0.3697314314644828,rr
4,0.002778291702270508,0.0017485618591308594,0.7248240989713524,0.7249851751412646,-0.30266569064111803,-0.23281233934716933,-0.4825063101630582,rr
5,0.0026121139526367188,0.0016100406646728516,0.8541800738779705,0.8565898909119812,-0.23214316104388621,-0.10293621052677937,-0.3208367350020558,rr
6,0.0026552677154541016,0.0016067028045654297,0.7547160596715138,0.7547193421648896,-0.2749437724030738,-0.1716608196886163,-0.4143197070966047,rr
7,0.0026760101318359375,0.001619100570678711,0.7459352057377099,0.7503387812316737,-0.25203188504786306,-0.1449765012927382,-0.38075779872871707,rr
8,0.002666950225830078,0.0015840530395507812,0.7980008631853229,0.798178894875498,-0.2728288113025477,-0.17017032658106243,-0.4125170621696301,rr
9,0.0027565956115722656,0.0015974044799804688,0.7853643335038938,0.7870232718851817,-0.2302104984758355,-0.11194432497430118,-0.33458081979441257,rr
0,4.319916248321533,0.024663686752319336,0.9395419345394399,0.9395991909202822,-0.10466189223423053,-0.043066695733010585,-0.20752516891454537,svr
1,4.880700349807739,0.024997234344482422,0.9582977489131806,0.959120612498672,-0.0921856307272636,-0.022336261517719173,-0.14945320845575438,svr
2,4.455625057220459,0.024702787399291992,0.9036309997055855,0.9057468521047817,-0.1301690099770307,-0.08893528001124894,-0.2982201871289885,svr
3,4.070288419723511,0.024786949157714844,0.964437679757824,0.9645420783171347,-0.08418418994536238,-0.02018723687424277,-0.14208179642108545,svr
4,4.0348334312438965,0.024538040161132812,0.939059106069753,0.9397442078411129,-0.11029777464478792,-0.05006259070897229,-0.22374671105732993,svr
5,5.127183198928833,0.03477191925048828,0.9406871854061564,0.9418474092491042,-0.10366204904487192,-0.04551414828951288,-0.2133404516014553,svr
6,4.285004377365112,0.024229764938354492,0.9412014476046631,0.942715251283188,-0.10731167092384251,-0.03997025002933923,-0.19992561123912872,svr
7,4.3219592571258545,0.025264978408813477,0.9497038278685033,0.9498788437039386,-0.09291009707090135,-0.030172966336807317,-0.17370367393007932,svr
8,4.024127244949341,0.024988412857055664,0.9768773472131407,0.9770568325066897,-0.08622819086615678,-0.017920207152646583,-0.13386637797687134,svr
9,4.373650789260864,0.02484750747680664,0.9510310550532591,0.9510449210745752,-0.0963047523167865,-0.03272771844196719,-0.18090803863280147,svr
