,fit_time,score_time,test_accuracy,algorithm
0,0.0033304691314697266,0.004998445510864258,0.9949494949494949,knn
1,0.0032432079315185547,0.005049467086791992,0.9949494949494949,knn
2,0.0030717849731445312,0.004752635955810547,0.9898477157360406,knn
3,0.003120899200439453,0.004847049713134766,0.9593908629441624,knn
4,0.003194093704223633,0.004983425140380859,0.9949238578680203,knn
5,0.00316619873046875,0.004946231842041016,0.9746192893401016,knn
6,0.0033228397369384766,0.004827976226806641,0.9846938775510204,knn
7,0.0031347274780273438,0.004949092864990234,0.9744897959183674,knn
8,0.003041982650756836,0.005052804946899414,0.9897435897435898,knn
9,0.003083467483520508,0.004750967025756836,0.9692307692307692,knn
0,0.007700681686401367,0.0006132125854492188,0.898989898989899,rr
1,0.01308751106262207,0.0006587505340576172,0.8636363636363636,rr
2,0.013151884078979492,0.0006420612335205078,0.9289340101522843,rr
3,0.013184309005737305,0.0006437301635742188,0.8934010152284264,rr
4,0.013517141342163086,0.0006213188171386719,0.9137055837563451,rr
5,0.013042211532592773,0.0006401538848876953,0.8730964467005076,rr
6,0.013020515441894531,0.0006136894226074219,0.8979591836734694,rr
7,0.01306605339050293,0.0006229877471923828,0.8673469387755102,rr
8,0.013004779815673828,0.0006160736083984375,0.9179487179487179,rr
9,0.012891292572021484,0.0004756450653076172,0.9179487179487179,rr
0,0.07171034812927246,0.0033626556396484375,0.9848484848484849,svr
1,0.04737448692321777,0.0019483566284179688,0.9696969696969697,svr
2,0.04631447792053223,0.0019142627716064453,0.9695431472081218,svr
3,0.04613018035888672,0.001959562301635742,0.9847715736040609,svr
4,0.044808387756347656,0.0019528865814208984,0.9898477157360406,svr
5,0.0450894832611084,0.001971721649169922,0.9847715736040609,svr
6,0.04547762870788574,0.0019254684448242188,0.9795918367346939,svr
7,0.04407858848571777,0.0019638538360595703,0.9897959183673469,svr
8,0.042511940002441406,0.0019261837005615234,0.9948717948717949,svr
9,0.0458066463470459,0.0019216537475585938,0.9794871794871794,svr
