,fit_time,score_time,test_r2,test_explained_variance,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_rmse,algorithm
0,0.014435529708862305,0.3793635368347168,0.9992786362173529,0.999281022972505,-59.75853302834055,-17740.161425337632,-133.192197314023,knn
1,0.013240575790405273,0.3829524517059326,0.9992807618174083,0.9992808286909146,-53.539432811409874,-16540.62094199643,-128.61034539257108,knn
2,0.0142669677734375,0.39159679412841797,0.9984362105385769,0.9984433670824298,-71.0779886170723,-35084.53574916635,-187.30866437291778,knn
3,0.013182878494262695,0.3812251091003418,0.9992452127099551,0.9992493536402464,-57.549115649337686,-18821.698041201736,-137.1921938056307,knn
4,0.013133764266967773,0.39087605476379395,0.998492895566506,0.9985066231271489,-65.0267690768356,-32394.972188914828,-179.98603331624048,knn
5,0.013134002685546875,0.3969602584838867,0.9992296796979273,0.9992296818255139,-62.88981793259562,-17015.435395794673,-130.4432267148995,knn
6,0.013178825378417969,0.3900127410888672,0.9985264193927134,0.9985264213638204,-68.47606385951363,-31873.553767712263,-178.5316604070893,knn
7,0.01426076889038086,0.3798642158508301,0.9987378424111802,0.9987459602179632,-56.276820135868114,-26875.440468771787,-163.93730651920504,knn
8,0.01321268081665039,0.39034485816955566,0.9991281558805005,0.9991499408307307,-64.29884325542557,-17983.009540732965,-134.10074399768618,knn
9,0.01328587532043457,0.4031689167022705,0.9996484550938977,0.9996492231659948,-42.476888892336504,-7703.918260320242,-87.77196739460864,knn
0,0.01172327995300293,0.012699365615844727,0.9999847770467806,0.9999848713354893,-14.403653996947833,-396.6757894791735,-19.916721353655916,rr
1,0.018988847732543945,0.0015904903411865234,0.9999829947248257,0.9999830231500891,-14.5815925028379,-368.2714545534459,-19.1904000623605,rr
2,0.019230365753173828,0.001653432846069336,0.9999743145647869,0.9999744078177951,-16.05275709855639,-553.6623580330464,-23.53003098240728,rr
3,0.019158601760864258,0.001672983169555664,0.9999877870751381,0.9999878112071118,-13.363097930873957,-288.6758185764378,-16.990462576882297,rr
4,0.01935577392578125,0.001634359359741211,0.9999848045558584,0.9999848363822619,-13.834514265854047,-319.4092180067372,-17.87202333276054,rr
5,0.01916670799255371,0.0016798973083496094,0.9999854848167047,0.9999855141972558,-12.629143985011776,-300.19276809025877,-17.32607191749644,rr
6,0.018306732177734375,0.0016710758209228516,0.9999838020910081,0.9999838140966104,-14.346774280040515,-368.04830603275434,-19.184585114949822,rr
7,0.019345521926879883,0.001592874526977539,0.9999845571233019,0.9999846209345701,-13.336784623212466,-368.5179980617605,-19.19682260327892,rr
8,0.01918792724609375,0.0016515254974365234,0.9999876712829412,0.999987693525952,-12.582451935487164,-285.422352121803,-16.894447375448628,rr
9,0.017549753189086914,0.0016829967498779297,0.9999834654505884,0.9999834959999386,-14.516204150186105,-362.65724789050324,-19.04356184883761,rr
0,3.0510969161987305,0.34263014793395996,0.9999841899699701,0.9999842682001929,-6.059165483292214,-372.4750378888813,-19.29961237664843,svr
1,3.6119346618652344,0.34430956840515137,0.999992706355043,0.9999928319850717,-3.9527445451845447,-173.22949865517072,-13.161667776356108,svr
2,2.8962721824645996,0.34209585189819336,0.9999843207869069,0.9999843255467594,-5.301435380793799,-377.61250714916395,-19.43225429920996,svr
3,3.1280157566070557,0.34531378746032715,0.999990016226228,0.9999900574433339,-4.697943550899176,-193.07361001685058,-13.895093019366605,svr
4,3.819639205932617,0.35182857513427734,0.999993979018384,0.9999939887950632,-4.968305914062336,-136.76208243682458,-11.694532159809754,svr
5,3.319571018218994,0.3463411331176758,0.9999819524105518,0.9999820354857937,-5.840168972879533,-416.90705464138904,-20.418301952938915,svr
6,2.906940460205078,0.3357276916503906,0.9999890163948808,0.9999890217376527,-5.152083439096259,-234.57318959317746,-15.315782369607419,svr
7,3.446633815765381,0.33841681480407715,0.9999668542067206,0.9999668675372437,-7.115899231648033,-770.5577427213651,-27.758921858050705,svr
8,3.504488706588745,0.35428667068481445,0.9999715386846173,0.9999717299683051,-7.556440194970928,-641.8827331119973,-25.33540473550792,svr
9,3.656390428543091,0.34346485137939453,0.9999966183922805,0.9999966185260191,-3.883349600199933,-76.30145755196268,-8.735070552202924,svr
