,fit_time,score_time,test_r2,test_explained_variance,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_rmse,algorithm
0,0.003887653350830078,0.023611783981323242,0.9996435587162522,0.9996800375110281,-0.8587860289419322,-6.80355931290046,-2.6083633398935167,knn
1,0.0038101673126220703,0.02418208122253418,0.9995545073191258,0.9996117560426351,-1.1232499845476187,-9.519220100951243,-3.085323338152947,knn
2,0.0037975311279296875,0.023749351501464844,0.9998537836895198,0.9998794370363644,-0.804129489387157,-3.4072817229110997,-1.845882369738413,knn
3,0.003840208053588867,0.02480173110961914,0.9998537911994769,0.9998715956274521,-0.7499586662387091,-3.5367619608599448,-1.880628076164967,knn
4,0.0038042068481445312,0.0230562686920166,0.9996741330603711,0.9997139661011912,-0.9064178043810674,-6.230034672849073,-2.4960037405518993,knn
5,0.0037267208099365234,0.02423381805419922,0.9998573725430159,0.9998746795835414,-0.6434318367480213,-2.9166707370152185,-1.7078263193355518,knn
6,0.003780364990234375,0.023615598678588867,0.999634885055387,0.9997009919443074,-1.1956851778676605,-7.417443424029677,-2.7234983796634937,knn
7,0.0038254261016845703,0.023305416107177734,0.9996048952719193,0.999663189995171,-1.1011153053442886,-6.381226829020764,-2.526109029519661,knn
8,0.0038034915924072266,0.025410890579223633,0.999483970616105,0.9995553573652959,-1.2547035072895538,-9.84029064703712,-3.1369237553751796,knn
9,0.0043675899505615234,0.02613973617553711,0.9997895011121741,0.9998291051637802,-0.8831693353959267,-3.8339567549395435,-1.9580492217867107,knn
0,0.007775783538818359,0.0014307498931884766,0.7541394141801835,0.7555926126359654,-52.51026891602114,-4985.6025349187175,-70.60879927401908,rr
1,0.0069887638092041016,0.0014500617980957031,0.7760830499966392,0.7786244922789352,-48.09929936054951,-4057.927904545711,-63.70186735524879,rr
2,0.0070683956146240234,0.0014295578002929688,0.7789398485201708,0.7789604921181057,-50.03422115460587,-4827.687636215748,-69.48156328275688,rr
3,0.006885051727294922,0.0014543533325195312,0.7742209876863904,0.7742266363147421,-48.701780570143605,-4375.082374008384,-66.14440546265712,rr
4,0.007010459899902344,0.0014426708221435547,0.7651494849991987,0.7664739972664415,-49.9624831664796,-4404.914409958879,-66.36952922809442,rr
5,0.0070722103118896484,0.001445770263671875,0.7968601869872834,0.8009061021224696,-49.546008197416676,-4511.002917434193,-67.16400015956609,rr
6,0.004796504974365234,0.0014500617980957031,0.7676067937616307,0.7684840581059914,-51.41811782920016,-4822.048159681739,-69.44096888495824,rr
7,0.002761363983154297,0.0014820098876953125,0.7600265346157509,0.7619629389397549,-48.422903524773034,-4516.984796237875,-67.20851728938733,rr
8,0.002930879592895508,0.001474618911743164,0.8190744781945511,0.8196368216300394,-46.277136903738715,-3906.874813607925,-62.50499830899866,rr
9,0.0027549266815185547,0.0014758110046386719,0.8292084851673325,0.8292630914823069,-45.2629559037837,-3495.920273749158,-59.12630779736849,rr
0,1.7046449184417725,0.08690309524536133,0.8981596422476353,0.901545085009625,-14.057813180994136,-2103.023113311259,-45.85872995746021,svr
1,1.861518144607544,0.08677363395690918,0.8957530524629459,0.8984791064129509,-12.391497803795147,-1761.1917675303025,-41.966555345063796,svr
2,1.7976016998291016,0.09185528755187988,0.9028653698459733,0.9065847608825088,-14.461023212426317,-2008.6954275533046,-44.81847194576478,svr
3,1.7843353748321533,0.09270691871643066,0.8893196934983062,0.8958733547548121,-17.637795097779314,-2707.7863404587088,-52.03639438372637,svr
4,1.9916236400604248,0.08702635765075684,0.9012623098790206,0.9053340092934147,-14.593818217885552,-2119.38097708448,-46.03673508280621,svr
5,1.4937467575073242,0.09496283531188965,0.9225563772576364,0.9252966584570326,-12.1737994750725,-1444.3736689184416,-38.00491637825877,svr
6,1.6391866207122803,0.09079694747924805,0.9527027023648358,0.9536591735519131,-9.91108634052439,-886.356841194947,-29.77174568605185,svr
7,1.8576915264129639,0.09476256370544434,0.9166373222947718,0.9185454975844407,-10.404866264412906,-1351.6125255233396,-36.7642832858651,svr
8,1.7861342430114746,0.08647990226745605,0.8970552804746609,0.9012386303733373,-14.029084427719292,-1868.2435260738896,-43.22318273882535,svr
9,1.5812244415283203,0.09399652481079102,0.8977329444665503,0.9029519653717006,-17.275168012933577,-2535.4833655039947,-50.35358344253162,svr
