,fit_time,score_time,test_r2,test_explained_variance,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_rmse,algorithm
0,0.005873203277587891,0.03533434867858887,0.98483814497722,0.985218427820338,-0.03427758691549963,-0.010726129190494926,-0.10356702752563157,knn
1,0.005706071853637695,0.03381156921386719,0.9542050218965802,0.9544640824470251,-0.053333598498988465,-0.033931833382275796,-0.18420595371017678,knn
2,0.005684614181518555,0.03417706489562988,0.9768330668567725,0.9784132500427252,-0.05251372670228716,-0.017058261373101874,-0.1306072791734897,knn
3,0.005688667297363281,0.03542661666870117,0.9676992386420933,0.9703587848572002,-0.06120132815600961,-0.021387876789553246,-0.14624594623288964,knn
4,0.00562596321105957,0.03692626953125,0.9841086728481804,0.9853429341771625,-0.04686153061309342,-0.01313637143569747,-0.11461401064310363,knn
5,0.006409406661987305,0.03825044631958008,0.9606283943189604,0.9631614486249347,-0.06603795741757675,-0.03464357284072109,-0.18612784004742838,knn
6,0.005738973617553711,0.036303043365478516,0.9475459745984807,0.9512901622225937,-0.0637892592045313,-0.027344755276803117,-0.16536249658493643,knn
7,0.005642890930175781,0.036008358001708984,0.9539469303139066,0.9575183176779931,-0.06617876993946831,-0.024670007248066544,-0.15706688781556266,knn
8,0.0057373046875,0.03350400924682617,0.9026956777877841,0.9028648728784786,-0.06725258165309488,-0.07801672074710037,-0.27931473421053243,knn
9,0.005742311477661133,0.03559279441833496,0.9463216873772962,0.9492574080106189,-0.06207210618401114,-0.03220807185429848,-0.1794660743825932,knn
0,0.0024306774139404297,0.0013875961303710938,0.5659858026833285,0.5706414910224815,-0.29259698948171725,-0.21125420429480204,-0.4596239814182916,rr
1,0.002466440200805664,0.0015153884887695312,0.681398251456537,0.6814839395394471,-0.32725282383325843,-0.2658223033128394,-0.5155795799998671,rr
2,0.002539396286010742,0.001504659652709961,0.6635165313009416,0.6645843865901331,-0.3021744133729472,-0.21372600068105685,-0.4623050948032661,rr
3,0.0025436878204345703,0.0014538764953613281,0.6542896180520089,0.6562262680039038,-0.3285495903990365,-0.25585284237031053,-0.5058189818208788,rr
4,0.0025582313537597656,0.0015456676483154297,0.7010309887934784,0.7010417773616453,-0.2984773046302812,-0.21240560568349623,-0.46087482648057077,rr
5,0.0026662349700927734,0.0015208721160888672,0.6369803667325727,0.6432043655692974,-0.30922799380982907,-0.22816451922323586,-0.47766569818570376,rr
6,0.00252532958984375,0.0014696121215820312,0.6900339249054627,0.6907892059549541,-0.33017599601235814,-0.2588811517855426,-0.5088036475749192,rr
7,0.0026204586029052734,0.00152587890625,0.6678092918116609,0.6686484190239966,-0.32377405469375736,-0.2439749187182002,-0.493938172971274,rr
8,0.002636432647705078,0.0015478134155273438,0.6520643462065527,0.6535513524673955,-0.29832666277681613,-0.21265587527506435,-0.46114626234532613,rr
9,0.002637147903442383,0.00145721435546875,0.6966297174249296,0.6986551748438041,-0.31315734956755303,-0.24941215123547414,-0.49941180526242485,rr
0,3.2172160148620605,0.03554987907409668,0.9135100531203545,0.9135102791120148,-0.13171389796814342,-0.05197335089605132,-0.22797664550574323,svr
1,3.858645439147949,0.036360740661621094,0.9177213433339073,0.9182921719957515,-0.13138886950073736,-0.05650028304599375,-0.23769788187107127,svr
2,3.7221322059631348,0.033284902572631836,0.9151498653475019,0.91516665832884,-0.13644505109147761,-0.059011830997565975,-0.24292350853214265,svr
3,3.7285096645355225,0.033080101013183594,0.8928811136360578,0.8928892335647399,-0.1478654982607814,-0.05927816918471047,-0.24347108490477976,svr
4,3.6279118061065674,0.03484916687011719,0.8975480541855648,0.8979241108721518,-0.15296784215858833,-0.09120850852762957,-0.3020074643574718,svr
5,3.6669814586639404,0.03395533561706543,0.8991949022413521,0.8993688366513835,-0.13898522489214593,-0.08213358547972852,-0.2865895767115903,svr
6,2.8378186225891113,0.033786773681640625,0.9348209911365025,0.9351299457382253,-0.11837691817456189,-0.03860801518769551,-0.19648922410070102,svr
7,3.4051337242126465,0.04651284217834473,0.8773143642420017,0.8773143892884712,-0.14706743806971323,-0.08383697568664404,-0.2895461546742489,svr
8,4.093303442001343,0.03333115577697754,0.9063181033420977,0.9064790214866278,-0.13627029705850977,-0.06798718608724866,-0.26074352549439966,svr
9,3.1871447563171387,0.032460689544677734,0.929321544696415,0.9294876851516596,-0.13631350721404412,-0.05708339605770858,-0.2389213177129839,svr
