,fit_time,score_time,test_r2,test_explained_variance,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_rmse,algorithm
0,0.002339601516723633,0.016541481018066406,0.9994204024378277,0.9994840103448954,-1.895583428531256,-12.701060059554795,-3.5638546630796824,knn
1,0.00222015380859375,0.014620065689086914,0.9992353126628332,0.9993645591086897,-1.6914218079462433,-12.379521723778147,-3.5184544510023357,knn
2,0.0020647048950195312,0.014664173126220703,0.998795497883588,0.9989865311858028,-2.423867334222691,-23.563052772211623,-4.854178897837576,knn
3,0.0020880699157714844,0.015467405319213867,0.9987630188173141,0.9990050587784107,-2.483048539335195,-28.091707207700768,-5.300161054883216,knn
4,0.0021033287048339844,0.014651775360107422,0.9992400865146118,0.9993805403143764,-1.859969586883425,-15.028129091690904,-3.8766130954340676,knn
5,0.0021071434020996094,0.015239953994750977,0.9983814035215486,0.9986294875081249,-2.7311619575413695,-39.38920825943716,-6.276082238103414,knn
6,0.0021104812622070312,0.014847517013549805,0.9987105557539934,0.9989533323361907,-2.3110865398631533,-21.918475129985705,-4.681717113408894,knn
7,0.002131938934326172,0.014766693115234375,0.999421662283958,0.9995332383831915,-1.687489167938596,-11.791930617090292,-3.433938062500588,knn
8,0.0020661354064941406,0.014790058135986328,0.9985253778653046,0.9987700128495371,-2.5208304974107074,-29.24471690495472,-5.407838468829734,knn
9,0.002010822296142578,0.014549016952514648,0.9984692900663078,0.9987568256262275,-2.498945872411579,-29.763657407589793,-5.455607886165372,knn
0,0.0019016265869140625,0.0014410018920898438,0.8490586248088972,0.8497567331850168,-37.985338066684506,-2929.4769158757786,-54.12464240875665,rr
1,0.0026276111602783203,0.0015685558319091797,0.7762768421045905,0.7768520166963528,-41.0030539086531,-4086.5975070504746,-63.92650081969507,rr
2,0.002714872360229492,0.0016367435455322266,0.7876228563431007,0.7889866215684697,-46.02457125828974,-4717.923580905652,-68.68714276271544,rr
3,0.002704620361328125,0.0015950202941894531,0.813663373705575,0.8139991339325596,-40.82813581141013,-3535.4847177763077,-59.459942127253264,rr
4,0.002681255340576172,0.0015933513641357422,0.8623365285197511,0.8624740633165041,-36.32953421385138,-2862.5838201940182,-53.503119723937765,rr
5,0.002676725387573242,0.0015654563903808594,0.8402375653032358,0.8413572572512684,-36.19333286433984,-2906.2513625756046,-53.90965926970421,rr
6,0.0031158924102783203,0.0015900135040283203,0.8404951536271554,0.8405051019108287,-40.50954447992729,-3626.075372384224,-60.21690271330986,rr
7,0.0027313232421875,0.0015881061553955078,0.7984446285558799,0.7988257751830997,-40.21604025790287,-3553.732077974415,-59.61318711471829,rr
8,0.002665281295776367,0.0015912055969238281,0.8246595189556205,0.8275321923732873,-44.29638729766197,-4263.323850601088,-65.29413335515748,rr
9,0.0026679039001464844,0.0016100406646728516,0.8440697609042871,0.8465422561716853,-36.76433551106865,-2951.1055082079124,-54.324078530683906,rr
0,1.9977905750274658,0.11977934837341309,0.9326262724372661,0.9332496991706806,-13.097883606256811,-1480.5629474598315,-38.47808398893884,svr
1,1.4639770984649658,0.08530545234680176,0.9119945268114823,0.9129929885332343,-11.530745838303835,-1528.8715403788199,-39.1007869534466,svr
2,1.7465033531188965,0.08595490455627441,0.8859700391452812,0.888681417488646,-17.691939250133217,-2675.733188683465,-51.727489680859875,svr
3,1.5312888622283936,0.08600211143493652,0.9130241250255364,0.9153456240588899,-14.505480447431898,-1896.3345562047007,-43.54692361355393,svr
4,1.6724553108215332,0.08585596084594727,0.8967149923653691,0.9018872278037809,-15.023538337995292,-2168.9376397425376,-46.571854587750074,svr
5,1.7435643672943115,0.09370231628417969,0.9231103389144986,0.9246043673993013,-10.739122629175968,-1239.317989368895,-35.203948491169214,svr
6,1.33375883102417,0.08604907989501953,0.9110927304748246,0.9116989868862637,-12.778773823459602,-1555.2204563780456,-39.43628350108622,svr
7,1.5006022453308105,0.08996987342834473,0.9219227770261056,0.9228905875825058,-12.828677296491335,-1586.441688050653,-39.83016053257447,svr
8,1.5661699771881104,0.08569931983947754,0.9112442663914746,0.9131334977590928,-14.883372876248329,-1902.2028888898797,-43.614250983937346,svr
9,1.7293546199798584,0.0928044319152832,0.8524958865343002,0.8578396871761085,-18.131389687607772,-3004.816609001395,-54.816207539389254,svr
