,fit_time,score_time,test_r2,test_explained_variance,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_rmse,algorithm
0,0.31697940826416016,8.805784940719604,0.9999980917996323,0.9999980981880692,-0.1475936490968439,-1.37533912006214,-1.1727485323214606,knn
1,0.3174271583557129,8.954196453094482,0.9867264599995825,0.9867748712050572,-5.669936032595658,-8637.491672739756,-92.93810667718466,knn
2,0.3113424777984619,8.884299516677856,0.999985294284805,0.9999853063085952,-0.2599346420034936,-9.899039140372096,-3.146273850187249,knn
3,0.3119661808013916,8.815471887588501,0.9999791278407825,0.9999791283880486,-0.34037026750596705,-14.259767450393623,-3.776210726428495,knn
4,0.3219914436340332,8.987538814544678,0.9999975639735479,0.999997564006371,-0.15712169792569244,-1.6866602117269003,-1.2987148307950056,knn
5,0.31456661224365234,8.82893180847168,0.9999467556787641,0.9999467954368259,-0.2921461091555343,-38.31581388343073,-6.189976888763861,knn
6,0.3238379955291748,8.665357828140259,0.9999976276416269,0.9999976320593982,-0.11241872182154468,-1.6876791305689893,-1.2991070512351894,knn
7,0.3179168701171875,9.049382209777832,0.9994055614683957,0.9994061478270211,-0.7895266615404056,-448.69398465657343,-21.182397991175915,knn
8,0.31839966773986816,8.637512922286987,0.999996867830034,0.999996868022239,-0.1422515778947643,-1.9335110563752809,-1.3905074815962986,knn
9,0.31076979637145996,8.913241624832153,0.9995110359999355,0.9995119479521575,-1.0366764350357496,-340.06227028417635,-18.440777377436568,knn
0,0.06338167190551758,0.009471654891967773,0.983399140410656,0.9833992255956838,-62.92414867611332,-10876.11283350094,-104.2886035648236,rr
1,0.11606693267822266,0.008796930313110352,0.9881627907999054,0.9881902251573486,-57.51610814730759,-8100.281929379603,-90.00156626070239,rr
2,0.1161808967590332,0.009224176406860352,0.9848533586605736,0.984860647094859,-61.41274121348848,-10003.835870419296,-100.01917751321142,rr
3,0.10905933380126953,0.007424592971801758,0.9821986407075856,0.9822450533769435,-68.65595727150559,-13755.676547941606,-117.28459637966789,rr
4,0.07684803009033203,0.0029218196868896484,0.979916002458568,0.979918007051744,-67.30226688578375,-13819.64143149342,-117.55697100339657,rr
5,0.07801198959350586,0.002759218215942383,0.9818759328106221,0.9818883924795047,-66.28280233122926,-12280.24680979864,-110.81627502221251,rr
6,0.07688236236572266,0.0026917457580566406,0.9856872366445976,0.9856979891382991,-65.72788196929777,-10688.245063460792,-103.3839690835131,rr
7,0.10975909233093262,0.009219169616699219,0.9786343953500213,0.9786486230487633,-64.02606826202229,-13405.69126457999,-115.78294893713836,rr
8,0.11562657356262207,0.007190704345703125,0.9865411601001285,0.9865432474659609,-59.77822667189352,-9813.663024585636,-99.06393402538401,rr
9,0.07625985145568848,0.002785205841064453,0.9857105658968237,0.9857558191877007,-61.26306660096469,-9609.73114379354,-98.02923616857137,rr
0,66.79024600982666,9.942131280899048,0.9962591845181091,0.9962669894337017,-10.39470017053977,-2623.8758898900296,-51.223782463715324,svr
1,64.86214971542358,9.923577547073364,0.9990810741261883,0.9990832402273814,-6.9433085329221855,-636.1729192019104,-25.222468539021126,svr
2,67.00287675857544,9.90578317642212,0.9976818394354601,0.9976818536493514,-7.917237644042196,-1599.233336621117,-39.99041555949521,svr
3,69.53803181648254,10.010727643966675,0.9972402196597361,0.9972404153024906,-8.037715833135444,-1875.5412524024416,-43.307519582659566,svr
4,68.76684761047363,9.872078657150269,0.9985597116766673,0.9985602261478663,-7.086832968299825,-921.5171433746082,-30.35650084207019,svr
5,71.55447316169739,9.896323442459106,0.9975831622596794,0.9975847970754544,-7.90088442294024,-1657.11486885332,-40.70767579773279,svr
6,71.30852460861206,10.044767379760742,0.9993335829407846,0.9993338788803424,-5.9725640407477645,-493.7527696991261,-22.22054836630109,svr
7,67.58801221847534,10.002371311187744,0.9987481262509493,0.9987533881488913,-7.394089338682894,-893.211962680354,-29.88665191486584,svr
8,69.12364554405212,10.110278606414795,0.9995152554737949,0.9995190883692695,-5.415169908459295,-357.2204796224223,-18.900277236655082,svr
9,69.46722650527954,9.997571229934692,0.999076944476673,0.9990858367761624,-6.261283506861326,-589.942104344502,-24.288723810536073,svr
