,fit_time,score_time,test_accuracy,algorithm
0,0.12412762641906738,0.10375094413757324,0.997090203685742,knn
1,0.12389516830444336,0.11073565483093262,0.9951456310679612,knn
2,0.12404680252075195,0.10484099388122559,0.9951409135082604,knn
3,0.12418437004089355,0.10963225364685059,0.9941690962099126,knn
4,0.1292262077331543,0.10362744331359863,0.9961089494163424,knn
5,0.12511610984802246,0.10539698600769043,0.995136186770428,knn
6,0.12475132942199707,0.10299968719482422,1.0,knn
7,0.12483429908752441,0.10366153717041016,0.9941634241245136,knn
8,0.13438177108764648,0.10525059700012207,0.9961089494163424,knn
9,0.12362456321716309,0.10357308387756348,0.9990272373540856,knn
0,0.03999447822570801,0.0016181468963623047,0.9359844810863239,rr
1,0.0744175910949707,0.0016956329345703125,0.929126213592233,rr
2,0.07454061508178711,0.0017254352569580078,0.9329446064139941,rr
3,0.0746469497680664,0.0017321109771728516,0.9339164237123421,rr
4,0.07438468933105469,0.0017037391662597656,0.9406614785992218,rr
5,0.0746314525604248,0.0017292499542236328,0.9221789883268483,rr
6,0.1165623664855957,0.0016021728515625,0.9309338521400778,rr
7,0.11222219467163086,0.0016753673553466797,0.9280155642023347,rr
8,0.07432007789611816,0.0017702579498291016,0.9357976653696498,rr
9,0.07451939582824707,0.0016965866088867188,0.9046692607003891,rr
0,0.45697522163391113,0.030019044876098633,0.9932104752667313,svr
1,0.47754693031311035,0.030048131942749023,0.9932038834951457,svr
2,0.4527890682220459,0.029595613479614258,0.9922254616132167,svr
3,0.4362673759460449,0.02916717529296875,0.9970845481049563,svr
4,0.4642667770385742,0.029260873794555664,0.9902723735408561,svr
5,0.4407212734222412,0.029149770736694336,0.9912451361867705,svr
6,0.5108816623687744,0.02925896644592285,0.9941634241245136,svr
7,0.4454050064086914,0.029819965362548828,0.9912451361867705,svr
8,0.44643115997314453,0.02910757064819336,0.9892996108949417,svr
9,0.44020628929138184,0.0289614200592041,0.995136186770428,svr
