,fit_time,score_time,test_r2,test_explained_variance,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_rmse,algorithm
0,0.11835432052612305,0.5487761497497559,0.999998139993752,0.9999981406274365,-2.0476458914050966,-625.5798309500398,-25.011593930616254,knn
1,0.11839127540588379,0.5683977603912354,0.9999970431416293,0.9999970519459798,-2.8339255848180454,-1027.4980896535621,-32.054611051353625,knn
2,0.11769556999206543,0.5542728900909424,0.9999960694396525,0.9999960694930051,-3.377783779491841,-1375.790938848484,-37.091655919471755,knn
3,0.11775708198547363,0.5567302703857422,0.9999994850206918,0.9999994853002186,-1.5415688597843238,-179.94259828220703,-13.41426845870497,knn
4,0.1185920238494873,0.5533826351165771,0.999998711610329,0.99999871161087,-2.165257283873668,-449.9912894243055,-21.212998124364823,knn
5,0.11799979209899902,0.5932884216308594,0.9999976264930823,0.9999976264973851,-2.951170775456084,-842.1372843437839,-29.019601726139935,knn
6,0.11820149421691895,0.5609452724456787,0.9999962055016794,0.9999962107910371,-3.4497994964203897,-1346.074083404995,-36.68888228612307,knn
7,0.12395143508911133,0.5708987712860107,0.9999967371033784,0.9999967401411363,-3.6802372761207476,-1141.2651770662078,-33.78261649230574,knn
8,0.11806058883666992,0.5478706359863281,0.999998896371129,0.9999988968214119,-2.2116994483378076,-404.9646002026133,-20.123732263241163,knn
9,0.11795163154602051,0.5672585964202881,0.9999985844998089,0.9999985845756622,-2.295866117869525,-483.93026076888583,-21.9984149603758,knn
0,0.009769201278686523,0.002722024917602539,0.9999731903413057,0.9999732049529242,-76.10402014817517,-9757.36438288204,-98.77937225393792,rr
1,0.013564109802246094,0.0020351409912109375,0.9999739083174851,0.999973910762622,-72.02205542482135,-8345.198888476936,-91.3520601216904,rr
2,0.013870000839233398,0.0020689964294433594,0.9999742180958436,0.9999742188199576,-74.6590932258503,-9150.95962861524,-95.66064827616025,rr
3,0.013847112655639648,0.002001523971557617,0.9999717687977783,0.9999718104057034,-78.27047037581416,-9602.23516990479,-97.990995351128,rr
4,0.013897895812988281,0.0020020008087158203,0.9999741750673299,0.9999741814595083,-77.23610820160097,-9332.577813348325,-96.6052680413875,rr
5,0.01390695571899414,0.0020666122436523438,0.9999766647881316,0.9999766988971549,-73.91733128808573,-8428.284034242208,-91.80568628490398,rr
6,0.014008283615112305,0.002020597457885742,0.999970223089745,0.9999702233673045,-81.03401606451176,-10275.98775202223,-101.3705467678962,rr
7,0.013918399810791016,0.002076864242553711,0.9999746082319391,0.9999746484469649,-74.44975807270639,-9134.790027623441,-95.57609548220434,rr
8,0.013610124588012695,0.002569437026977539,0.9999730877718738,0.9999731544758255,-76.47212890604776,-8945.574591963488,-94.58104774194187,rr
9,0.013966798782348633,0.0019268989562988281,0.9999749596335487,0.9999750620295109,-75.64902548673717,-9087.25519511275,-95.32709580760735,rr
0,17.001234531402588,2.695462703704834,0.9999968099656306,0.9999968100478377,-21.078683870664065,-1182.7949556955537,-34.39178616611172,svr
1,16.579235076904297,2.727165460586548,0.9999959441751717,0.9999959441850396,-22.745064277591503,-1380.3803498926184,-37.15347022678525,svr
2,16.461004734039307,2.807636022567749,0.9999974406250112,0.9999974407092753,-20.000122787175155,-863.8728418842641,-29.391713830334293,svr
3,16.830105781555176,2.7069966793060303,0.9999959584057696,0.999995967760893,-22.785288327355094,-1412.8152270223711,-37.58743442990451,svr
4,17.147201776504517,2.694502115249634,0.9999960656394846,0.9999960702659195,-23.27656750519985,-1456.5409250547461,-38.16465544263103,svr
5,16.358089208602905,2.70857572555542,0.9999967035062615,0.9999967035289447,-22.439815719863034,-1142.3645845187666,-33.79888436796053,svr
6,16.537074327468872,2.709615707397461,0.999997372331654,0.9999973723343778,-20.099293675388576,-910.6236369493552,-30.176541169414282,svr
7,16.159624338150024,2.718007802963257,0.9999968595186306,0.9999968648478662,-21.274767543560472,-1109.5271096371002,-33.30956483710197,svr
8,16.501615047454834,2.7108824253082275,0.9999967411038717,0.9999967463571873,-21.242432561184966,-1115.1418467804094,-33.3937396345544,svr
9,17.00195622444153,2.700651168823242,0.9999968877265389,0.999996894954433,-20.48167715305044,-1065.58987406005,-32.64337412186507,svr
