,L1NN,L2NN,RIDGE
0.0,173.90112133,191.226776368,58.3195201135
0.25,193.482815774,421.816974528,782.177105579
0.5,232.701611511,949.829626828,1723.29363044
0.75,245.207993344,1735.26165174,2968.37350223
1.0,265.93728584,2710.67492702,4469.32252519
1.25,270.595565374,4134.58248436,6401.9674476
1.5,260.56039607,5087.27054126,8463.81500921
1.75,262.443517733,5683.43818124,10569.0151745
2.0,280.617889665,6402.00328647,12482.8738403
2.25,280.317177497,6707.48452999,15108.3785479
2.5,290.513407608,7453.95829342,18174.1609207
2.75,293.998775508,8071.28210385,19956.9609525
3.0,297.1752345,8062.35450225,22137.0109538
3.25,298.567915222,7774.70830835,25814.3757688
3.5,309.096295675,8583.94979016,29008.283285
3.75,320.2763182,8636.05637314,31385.4204295
4.0,353.726108734,8607.93116608,33960.4201582
4.25,378.55905748,8774.32503615,37867.146029
4.5,340.372031753,8441.03813047,39240.7365731
4.75,358.464782092,8414.27828159,40571.5805631
5.0,439.894214556,9006.19318691,47184.8235218
5.25,436.980548766,9153.60423003,48437.1428992
5.5,448.303156357,8843.89425988,53374.8193588
5.75,490.514790807,9227.33141488,59272.9780075
6.0,514.696104512,9282.23796506,63010.7344586
6.25,515.869169461,9322.94211931,64806.7439575
6.5,574.076127356,9513.35206328,66360.372711
6.75,583.627449663,9362.72918972,65880.8451024
7.0,620.959869879,9457.69690992,70311.2820045
7.25,645.450757223,9728.30015368,75559.2115891
7.5,707.65898567,9581.40653558,79017.4831992
7.75,679.805589856,10056.9071767,85165.5160554
8.0,759.640888842,9944.32950178,86237.8411908
8.25,750.555314417,9946.49375408,89997.4001274
8.5,809.873125866,10366.5247311,96967.5023416
8.75,855.489660954,10221.131863,102909.34367
9.0,911.049131496,10037.0804201,106338.720043
9.25,946.323919174,9703.15187555,106260.784907
9.5,936.14377101,9856.05149134,116921.481951
9.75,974.316293613,10057.5392617,123639.719745
10.0,943.387725169,9688.54334562,134239.666376
