,fit_time,score_time,test_explained_variance,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_r2,test_neg_rmse,algorithm
0,0.09118914604187012,0.2854480743408203,0.9548221802395933,-845.8834626306323,-15003025.677803408,0.9546295439069379,-3873.373939836355,knn
1,0.0957939624786377,0.27112817764282227,0.9701199882627689,-623.5885126072097,-9715699.519242607,0.9700871581926193,-3117.001687398101,knn
2,0.09132981300354004,0.2669692039489746,0.9478260873663259,-891.4603042352805,-17531515.2448856,0.9478252591300013,-4187.065230550582,knn
3,0.09067440032958984,0.26996731758117676,0.9676554816877675,-678.3761851844162,-11236412.184241796,0.9676550561320494,-3352.0758022815944,knn
4,0.09138035774230957,0.2633187770843506,0.9575152742495616,-806.5717380473739,-14985859.049448371,0.9575139891460278,-3871.1573268789234,knn
5,0.09125232696533203,0.27338314056396484,0.947494210800367,-881.3717958678692,-18175070.356206387,0.9474297627659688,-4263.223000994246,knn
6,0.09136462211608887,0.28824281692504883,0.9783707407454008,-514.9131838495119,-7173802.065878574,0.9782584427713772,-2678.3954274674556,knn
7,0.09454703330993652,0.2714052200317383,0.9645457533408894,-738.545788877615,-11938344.51515852,0.9645336857291584,-3455.1909520543895,knn
8,0.09165525436401367,0.27343320846557617,0.9583304052662259,-755.3553172665206,-15087446.197110455,0.9583073726110175,-3884.256196121782,knn
9,0.0898895263671875,0.2707703113555908,0.9708239115660867,-622.9587907346594,-10074698.463779015,0.9708013741895166,-3174.0665499921415,knn
0,0.008787870407104492,0.0017819404602050781,0.9713616661246708,-703.8512306213852,-9481022.965344759,0.9713615393930546,-3079.126981036144,rr
1,0.01130819320678711,0.0017490386962890625,0.974788980923204,-719.092264114858,-8550700.05390572,0.9747880835402497,-2924.1580076845576,rr
2,0.01133584976196289,0.0017008781433105469,0.9690568723206558,-760.0938428243742,-10486495.306465084,0.9690192757236948,-3238.2858592880716,rr
3,0.011348724365234375,0.0019414424896240234,0.969583090191213,-801.3469149926049,-10723371.169349678,0.9695640648440393,-3274.655885638929,rr
4,0.01139688491821289,0.0018010139465332031,0.9773398228616196,-679.5925271898835,-7590127.683922144,0.9773364630836902,-2755.0186358575043,rr
5,0.011340618133544922,0.0018923282623291016,0.9737033695663754,-718.4093641241905,-9053930.085993484,0.9736793039515104,-3008.9749227923926,rr
6,0.011454105377197266,0.001833200454711914,0.9616524259807745,-836.7043059616312,-13176158.281938693,0.9616478507968537,-3629.8978335400425,rr
7,0.012056350708007812,0.001718282699584961,0.9737685881549292,-681.8186926499089,-9040389.994481169,0.9737493231093767,-3006.724130092611,rr
8,0.011334657669067383,0.0019459724426269531,0.9725537949333382,-725.3456627129017,-9425928.677386543,0.9725421135970129,-3070.1675324624457,rr
9,0.011536121368408203,0.0018336772918701172,0.9683671394189378,-791.6900522414107,-10665285.280111559,0.9683669445966581,-3265.77483610116,rr
0,9.686439275741577,2.3377888202667236,0.9638428085454366,-609.5858588163075,-12699888.079656703,0.9637690934230023,-3563.69023340367,svr
1,9.940207719802856,2.342015266418457,0.9620724120525834,-574.3219796537971,-12849535.043512404,0.9620143090963366,-3584.6248120985274,svr
2,9.813537836074829,2.342053174972534,0.9713581812407734,-450.1561534061116,-9619438.874152834,0.971315261837717,-3101.5220254179776,svr
3,9.854356288909912,2.355971336364746,0.9669741842706125,-561.1016248927788,-11503526.005385153,0.9669739215903804,-3391.684832850062,svr
4,9.767319440841675,2.369079113006592,0.9630924265185323,-573.2366251110606,-12577279.70587332,0.962920784778724,-3546.4460669624345,svr
5,9.895600318908691,2.3702056407928467,0.9749447383660611,-391.85038774549287,-8598376.993929522,0.9748583324630435,-2932.2989264277817,svr
6,9.945369958877563,2.355440855026245,0.9642293559551558,-531.2221862649002,-12090413.980015963,0.9642223713789887,-3477.127259680894,svr
7,9.924287796020508,2.3670778274536133,0.9700606873047091,-503.4449777324323,-9871805.21702558,0.970016438986296,-3141.942904800401,svr
8,9.89023208618164,2.348794937133789,0.9682658487166503,-481.02052316738303,-10879134.834433503,0.9682003577295945,-3298.3533519672364,svr
9,9.817065000534058,2.352449893951416,0.9551344023231163,-585.0249730704325,-15558889.7282397,0.9550316252100928,-3944.4758496205422,svr
