,fit_time,score_time,test_explained_variance,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_r2,test_neg_rmse,algorithm
0,0.11011672019958496,0.2717771530151367,0.9998729418637147,-1.5230212826089837,-84.30374665873987,0.9998727719755118,-9.181707175614994,knn
1,0.09250068664550781,0.2658708095550537,0.9998238088605311,-1.8537003534590142,-120.29481023646636,0.9998236068913233,-10.967899080337418,knn
2,0.09975242614746094,0.26291513442993164,0.9999216653631374,-1.4406267258498793,-53.84601040948967,0.9999214893227886,-7.337984083485714,knn
3,0.09282708168029785,0.2652244567871094,0.9998992031248074,-1.4576865475150553,-70.29537535254033,0.9998988976079619,-8.384233736754977,knn
4,0.09266352653503418,0.27006983757019043,0.9998790341082039,-1.5660751673683981,-90.46405557737015,0.9998784514929294,-9.511259410686376,knn
5,0.09298825263977051,0.2789437770843506,0.9999065657064902,-1.347756960127012,-64.84926026377492,0.9999064164369538,-8.052903840464937,knn
6,0.09221029281616211,0.27432680130004883,0.9999309093111868,-1.2852803084294677,-45.30326107232528,0.999930514737208,-6.7307697236144755,knn
7,0.09211921691894531,0.2678554058074951,0.9998548828988854,-1.5800948451268333,-98.57663485654935,0.9998547397005967,-9.928576678283214,knn
8,0.09226322174072266,0.28507113456726074,0.9999146085963228,-1.414259022737575,-62.854060114046845,0.9999142451577013,-7.92805525422514,knn
9,0.09279036521911621,0.26881861686706543,0.999894006453267,-1.442441767746467,-73.57237005502313,0.9998939986604982,-8.577433768617693,knn
0,0.008225679397583008,0.001589059829711914,0.9924121599664255,-47.12682373864619,-4681.265234415597,0.9924070172556176,-68.41977224761565,rr
1,0.011292457580566406,0.0017359256744384766,0.9934247669160472,-47.897801243229914,-4850.941506678371,0.9934234547322025,-69.64870068191058,rr
2,0.011346578598022461,0.0017085075378417969,0.9937090438988793,-47.52438445552851,-4427.714224194003,0.9937026227458977,-66.54107170908809,rr
3,0.011416912078857422,0.0017473697662353516,0.9937088670164794,-45.233138742612915,-4156.4067039711945,0.9937084493904875,-64.47020012355472,rr
4,0.017321348190307617,0.002326488494873047,0.993304720696902,-46.17230982774513,-4622.966451042808,0.9932863253658247,-67.99239995060337,rr
5,0.01308298110961914,0.0018351078033447266,0.9942885092448391,-44.59282830288018,-3835.2916199570336,0.9942866416404752,-61.92973130861326,rr
6,0.011349678039550781,0.0017251968383789062,0.9931755701118498,-48.37323611365043,-4975.759947821622,0.9931746451244817,-70.53906681989507,rr
7,0.011516809463500977,0.001722097396850586,0.992377093533402,-50.19527957248096,-5536.979118335956,0.99237636581262,-74.41088037603073,rr
8,0.011283159255981445,0.0016856193542480469,0.9933948067527587,-47.234060871844065,-4504.163505799395,0.9933945081345967,-67.1130650901849,rr
9,0.011027812957763672,0.001413106918334961,0.9925805272608702,-49.107196035233095,-5229.388314664993,0.9925802994822573,-72.31450971046539,rr
0,19.166919469833374,2.2860279083251953,0.9993426963317557,-10.615266069596492,-429.05733443219947,0.9993243239637416,-20.71369919720279,svr
1,18.219929456710815,2.291121482849121,0.9994549946086341,-10.797126202475049,-395.6915168344918,0.9994448841976824,-19.891996300886742,svr
2,18.292531490325928,2.3229386806488037,0.999551668158958,-10.479362770471834,-323.8057729776853,0.9995427656402825,-17.9946039961341,svr
3,18.263935565948486,2.3290014266967773,0.9994514321162933,-11.32721220087905,-407.4730296858979,0.999436451577694,-20.185961202922638,svr
4,18.584404945373535,2.33351469039917,0.9994270045301191,-10.688137252388577,-385.24094564990816,0.9994149774782957,-19.627555773705197,svr
5,18.2442569732666,2.3221213817596436,0.9994651876441321,-10.892013497062011,-406.270049339022,0.9994518442092342,-20.15614172749889,svr
6,18.92420768737793,2.302316427230835,0.999312169591936,-11.767412020545562,-513.1713405115352,0.9992893033701283,-22.653285424227878,svr
7,18.850979328155518,2.2966556549072266,0.9994631500019957,-10.50214461519394,-362.0098661643119,0.9994521120775306,-19.026556865715666,svr
8,17.74540901184082,2.3010358810424805,0.9994763621532873,-10.917829307692365,-379.08811990267407,0.9994716277324514,-19.4701854100744,svr
9,18.996025562286377,2.3070225715637207,0.9993223144871299,-11.846662528955058,-453.0462852640538,0.9992898406449962,-21.28488396172396,svr
