,fit_time,score_time,test_explained_variance,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_r2,test_neg_rmse,algorithm
0,0.12040090560913086,0.48273706436157227,0.9455492919389531,-611.709727664133,-18509162.085281387,0.9453777399445312,-4302.227572465384,knn
1,0.11349725723266602,0.46157121658325195,0.9631518039582808,-452.6077046076533,-12268929.810804741,0.9630327387414431,-3502.7032147763734,knn
2,0.11699271202087402,0.485029935836792,0.9807020120168322,-329.22720278822635,-6793179.128800837,0.9806175929481237,-2606.3727916015464,knn
3,0.11376142501831055,0.46631884574890137,0.9718822269511667,-414.8122606239002,-9657300.145519078,0.97177204303624,-3107.61969126196,knn
4,0.11719322204589844,0.46285057067871094,0.9837874913611843,-288.0961350144747,-5406676.819107121,0.9837862149759287,-2325.226186655208,knn
5,0.11590933799743652,0.4679708480834961,0.9719578745838384,-401.0698889331527,-9663365.582699908,0.971956336266049,-3108.595435675075,knn
6,0.12298130989074707,0.6122922897338867,0.9545586706040714,-524.2421263897678,-15909254.68298364,0.9545578841030364,-3988.6407061784394,knn
7,0.11372232437133789,0.44922733306884766,0.9300312668851761,-780.0619787212063,-24842168.223056957,0.9299814803591716,-4984.191832489692,knn
8,0.11339449882507324,0.45885753631591797,0.9401453285001855,-668.9757643674586,-19874388.59478746,0.9401451003116855,-4458.070052700771,knn
9,0.11418747901916504,0.45390963554382324,0.9499728578533891,-619.4625362043264,-16435000.866837928,0.9499709463625252,-4054.0104670360593,knn
0,0.009263038635253906,0.0021686553955078125,0.9875105397464747,-399.85705946717593,-4144414.579216424,0.9874551374578573,-2035.783529557213,rr
1,0.01349496841430664,0.0014529228210449219,0.9780755340818521,-582.3278724200944,-8051703.414278845,0.978033327544415,-2837.55236326642,rr
2,0.009249687194824219,0.0013687610626220703,0.9786979139727541,-505.5839662969876,-7423641.0067409035,0.9786977454067576,-2724.6359402204366,rr
3,0.008900165557861328,0.0013942718505859375,0.9763553594399067,-539.2765262441659,-8047327.850366053,0.9763488112007778,-2836.781248239993,rr
4,0.013747215270996094,0.0014226436614990234,0.9740612322147298,-609.6457118775464,-8889768.257929917,0.9740394596549684,-2981.5714410239975,rr
5,0.011061906814575195,0.0018246173858642578,0.9795192686527598,-473.441485652206,-6926350.001311366,0.9795141189891292,-2631.7959649850072,rr
6,0.017134666442871094,0.0023818016052246094,0.9739230192630737,-538.9600039034992,-8292058.736893506,0.9738594197990038,-2879.593502023073,rr
7,0.012106895446777344,0.0018017292022705078,0.9737710634532121,-548.7845646379291,-9162118.205752848,0.9737295357545839,-3026.8991072965823,rr
8,0.011909246444702148,0.001878976821899414,0.9662435500619487,-723.1895459014934,-11439178.457432559,0.9662349890042895,-3382.1854558011096,rr
9,0.015051841735839844,0.004174709320068359,0.9568617808147636,-760.7705848193882,-14613057.220970638,0.9565302775775876,-3822.702868517332,rr
0,14.918622970581055,2.640608549118042,0.9544305476133735,-444.06611863726295,-14715174.720472656,0.9539220638187945,-3836.036329399483,svr
1,14.667314291000366,3.205312967300415,0.973003879363262,-346.9080253647424,-9798073.567509007,0.9727484236934542,-3130.187465234152,svr
2,15.227353572845459,2.6121633052825928,0.9503017476177217,-479.65823830583264,-16863874.257991858,0.9497158689112544,-4106.56477581833,svr
3,14.562680959701538,2.4359524250030518,0.9943653148650881,-107.14864084498085,-1968127.8231221838,0.994350976890804,-1402.8997908340366,svr
4,15.309226512908936,3.1293327808380127,0.9516998959787417,-476.5383606043142,-16352586.99502619,0.9511472263200427,-4043.833205638703,svr
5,16.29010820388794,3.1359927654266357,0.9491473137366266,-498.88551536419703,-18048208.938723348,0.9485392466204998,-4248.318365980043,svr
6,15.314433813095093,2.501605749130249,0.9658850923279128,-403.651522790672,-11755803.421871359,0.965496400125268,-3428.6737117829334,svr
7,13.955423593521118,2.466668128967285,0.96501974231879,-396.1096311613127,-12482087.526357176,0.9647667142997051,-3532.999791445957,svr
8,14.643094778060913,2.5386910438537598,0.9614812484663942,-385.738752330869,-12631876.169553407,0.9611135139059451,-3554.135080375169,svr
9,14.523430585861206,2.5767555236816406,0.9764877200397973,-338.63706344594834,-8087181.287394547,0.9763627743428422,-2843.7969842087086,svr
