,fit_time,score_time,test_explained_variance,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_r2,test_neg_rmse,algorithm
0,0.11452031135559082,0.41921424865722656,0.9694372694480021,-46.35449231975388,-19373.71781557072,0.9687247593673117,-139.18950325211566,knn
1,0.10283493995666504,0.41761016845703125,0.965024354825444,-56.37767677227908,-29765.52597464309,0.9630586172961649,-172.5268847879747,knn
2,0.10276532173156738,0.43409156799316406,0.9654742372126753,-53.54836590835604,-26195.439063948786,0.9635207736667177,-161.8500511706709,knn
3,0.10303926467895508,0.4308338165283203,0.9703945125254767,-51.21894709001874,-20249.24177492577,0.9687919957691167,-142.29983055128972,knn
4,0.1026759147644043,0.42462611198425293,0.9605418435141476,-55.80193432232603,-29556.42146737324,0.9581768028588681,-171.91981115442525,knn
5,0.10556864738464355,0.4183342456817627,0.9669915960142361,-55.25119541675275,-25756.193047629877,0.9647761934685719,-160.48736102145202,knn
6,0.10291814804077148,0.4223620891571045,0.9731666947813391,-46.55796143733007,-18366.490158556153,0.9721349509946652,-135.52302445915288,knn
7,0.10412955284118652,0.4520688056945801,0.9763849018398427,-42.08708410613261,-15220.415458814434,0.9759414361655926,-123.3710478954217,knn
8,0.10405611991882324,0.44631385803222656,0.9766791343167845,-47.51169263632025,-18022.920979848834,0.9752935270534476,-134.24947292205223,knn
9,0.10315942764282227,0.4211254119873047,0.9653721153527576,-52.48102967646287,-23705.059670058356,0.9639658792336778,-153.96447535083655,knn
0,0.008115291595458984,0.0015878677368164062,0.7825503308220836,-289.83629572871587,-158108.339465409,0.7825503303097935,-397.62839368612623,rr
1,0.011713981628417969,0.0018837451934814453,0.782564989572526,-277.76216576493084,-144118.48561926722,0.782255302721359,-379.629405630369,rr
2,0.011610746383666992,0.0018739700317382812,0.7984550181240654,-278.5806887768358,-143372.000456033,0.7984428838622284,-378.64495303124403,rr
3,0.011476755142211914,0.0018420219421386719,0.760998992985982,-278.81351727059536,-157799.90491807795,0.7609519172779764,-397.2403616427691,rr
4,0.011429071426391602,0.001829385757446289,0.7813550034240648,-283.3133707770114,-157966.35462026327,0.7809749048059214,-397.4498139643083,rr
5,0.011486053466796875,0.00183868408203125,0.7775505518174636,-282.7647665805915,-147895.95446610427,0.7773106714203755,-384.57243071507907,rr
6,0.01140141487121582,0.0018301010131835938,0.8102247175947233,-263.42314334164746,-131141.76070575017,0.8102232582448029,-362.1350034251732,rr
7,0.011460304260253906,0.0018601417541503906,0.7724015583142374,-281.6171126986454,-154682.9070244446,0.7723923157180741,-393.297479046643,rr
8,0.011362075805664062,0.0018529891967773438,0.775786117632867,-289.12059556508456,-162317.46162436533,0.7754169290776253,-402.88641280684226,rr
9,0.011447668075561523,0.0018792152404785156,0.7833700745262028,-281.2587947309097,-147748.1525102634,0.7832162869836539,-384.38021867711063,rr
0,10.518590927124023,2.4046506881713867,0.8525053792963374,-132.46352039057766,-119427.37857852643,0.8396020295843086,-345.58266533280636,svr
1,10.465705394744873,2.398956298828125,0.8424101941265723,-127.0390688926541,-117866.36807617999,0.8314536731633224,-343.3167168609475,svr
2,10.484380722045898,2.4073681831359863,0.8407112759435702,-127.53236577854815,-115634.7684062284,0.8285475315324025,-340.0511261652112,svr
3,11.267008781433105,2.4651143550872803,0.8732883228961702,-119.36097044382285,-99940.82728602808,0.8633927172982867,-316.13419189646044,svr
4,11.88067102432251,2.917515993118286,0.8661821333842052,-112.47710615645441,-91408.58450419783,0.8584705911816533,-302.33852633132585,svr
5,11.973756313323975,2.6054091453552246,0.8247617041225483,-134.6920932558716,-131197.82616182553,0.8116859029368542,-362.2124047597287,svr
6,11.381733894348145,2.6026785373687744,0.8583860819415976,-120.02357296229373,-105177.17964601827,0.8491222242027299,-324.3103138138198,svr
7,11.093335151672363,2.601106882095337,0.8409035102050271,-123.26600720648348,-108166.80268172637,0.831057239704694,-328.8872187874232,svr
8,11.506331205368042,2.6173853874206543,0.8637669684737452,-109.81005400120873,-94778.07272069575,0.8565038473840478,-307.86047606130893,svr
9,11.218566179275513,2.596107244491577,0.8399821873135399,-134.77691868165027,-125658.71362081669,0.8275461824619045,-354.483728287797,svr
