,fit_time,score_time,test_explained_variance,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_r2,test_neg_rmse,algorithm
0,0.1177830696105957,0.4662363529205322,0.938468742218107,-0.16716039571934987,-0.11378309772609631,0.9383239268028225,-0.33731750284575557,knn
1,0.11384820938110352,0.5090129375457764,0.9462023467044867,-0.15227767213305562,-0.09643611367626073,0.9460805989513785,-0.3105416456391328,knn
2,0.11365008354187012,0.46385955810546875,0.9461522102401101,-0.15542081829154683,-0.09977503654077854,0.9459533142256085,-0.3158718672828882,knn
3,0.11391973495483398,0.4589066505432129,0.9647893155862928,-0.12795048156577843,-0.06566605158662082,0.9646630316814137,-0.25625388111523467,knn
4,0.22586584091186523,0.4866831302642822,0.9607338886332997,-0.12562794172753,-0.0731968035802274,0.9607338495343635,-0.2705490779511684,knn
5,0.11410856246948242,0.4625365734100342,0.960236118964197,-0.1355326132311427,-0.07540868162234997,0.9601227501748435,-0.27460641220180926,knn
6,0.11867547035217285,0.47585105895996094,0.952004794304533,-0.14638560252880145,-0.08757589932040347,0.9518115980757113,-0.2959322546131183,knn
7,0.11403441429138184,0.4623227119445801,0.9523803934106198,-0.14851826720501773,-0.08834160913669213,0.9523343833837646,-0.29722316386293335,knn
8,0.11370682716369629,0.45003676414489746,0.9602941454216374,-0.13249293021265107,-0.07324386224690205,0.9601614384596378,-0.27063603279478887,knn
9,0.11489057540893555,0.49785757064819336,0.9465151033217925,-0.15120254549900664,-0.09622710317898382,0.9461282053843377,-0.31020493738653454,knn
0,0.009842395782470703,0.0015728473663330078,0.7862200560365863,-0.4924927215169373,-0.3908996538734776,0.7862160545889882,-0.6252196844897621,rr
1,0.02328324317932129,0.003317117691040039,0.810757782992827,-0.46813197131656964,-0.35036049326046764,0.8106066727901318,-0.591912572311543,rr
2,0.012066364288330078,0.0017256736755371094,0.7998111241820873,-0.4784183536165307,-0.37002506580004224,0.7984709073150904,-0.6082968566415926,rr
3,0.011747121810913086,0.0017848014831542969,0.7910669441541192,-0.5004386079300563,-0.38134831297366734,0.790938429398349,-0.617534058148753,rr
4,0.011873006820678711,0.0017590522766113281,0.7787044349839154,-0.5005074376190154,-0.3947181216927002,0.7786801819683494,-0.628265964136766,rr
5,0.011749029159545898,0.0017247200012207031,0.8056531553697197,-0.4863529661702952,-0.3595775647846338,0.8055890074392995,-0.5996478673226762,rr
6,0.0118865966796875,0.001737833023071289,0.8045717765736986,-0.46544793373409415,-0.3587806986149307,0.804520759660099,-0.5989830536959545,rr
7,0.012155771255493164,0.0017352104187011719,0.7879718665949569,-0.4785931599014614,-0.3854401931329506,0.7878945810439861,-0.6208382987001935,rr
8,0.011683940887451172,0.0013096332550048828,0.7842196504081802,-0.4912537378102021,-0.4061230599276875,0.7841847427657596,-0.6372778514334917,rr
9,0.01142740249633789,0.0017120838165283203,0.7885554074787346,-0.4953959701094806,-0.39874223688528887,0.7882786200469212,-0.6314604000927444,rr
0,68.53689551353455,1.2244656085968018,0.9689111136390426,-0.14864221187528653,-0.05512449227067538,0.9688126928871631,-0.23478605638043198,svr
1,71.64562845230103,1.1787817478179932,0.9702878057769092,-0.1454215734799457,-0.055527147482731506,0.9701855381183485,-0.2356419900669902,svr
2,73.63895559310913,1.309356451034546,0.9684449003307855,-0.14954034823383486,-0.06067378363798102,0.968336798762353,-0.2463204896836254,svr
3,71.1390769481659,1.1929922103881836,0.9677699439943881,-0.15199406804873644,-0.06239677700247065,0.9677023737233282,-0.24979346869458105,svr
4,71.23383283615112,1.2858753204345703,0.9664074783191795,-0.15536746054742295,-0.06359643345755868,0.9663595643571289,-0.2521833330288873,svr
5,81.49322032928467,1.5735530853271484,0.9638105146155101,-0.1525037754687285,-0.06820324305514762,0.9637170837665253,-0.2611575062201882,svr
6,71.1973090171814,1.222740650177002,0.9648584133494413,-0.14838388062972127,-0.06296707846743778,0.9647501746096301,-0.25093241812774564,svr
7,69.61049318313599,1.197624921798706,0.9673671277977389,-0.14978615205264678,-0.06105516539100347,0.967336538279925,-0.24709343453641877,svr
8,73.14098978042603,1.2024567127227783,0.9673307854580537,-0.1554924958504595,-0.05662942886873687,0.9672376471471904,-0.2379693864108089,svr
9,72.99026417732239,1.2806196212768555,0.9701883914982322,-0.1509143816357641,-0.05257629908058324,0.9701620766271234,-0.2292952225419955,svr
