,fit_time,score_time,test_explained_variance,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_r2,test_neg_rmse,algorithm
0,0.11194276809692383,0.3891279697418213,0.9355384958216456,-636.0793676653652,-22057336.59415915,0.9354647791480099,-4696.523884125274,knn
1,0.10932183265686035,0.3816804885864258,0.9602981682143579,-402.24185152555924,-13595801.319037214,0.9602625767322799,-3687.2484753589924,knn
2,0.10899806022644043,0.3840489387512207,0.9704886651048032,-368.99267291217745,-10154133.268141152,0.9704780056680122,-3186.5550784728566,knn
3,0.10889148712158203,0.3891580104827881,0.9552822139602412,-486.22400088349855,-15487787.636585662,0.9552740658502139,-3935.452659680416,knn
4,0.10897302627563477,0.37937068939208984,0.9275557327097034,-646.9040549093266,-24493370.675167676,0.9275522605359908,-4949.077760064765,knn
5,0.10901832580566406,0.3836386203765869,0.934181868403565,-663.2381908231325,-21950390.503767766,0.9341816883573729,-4685.1243850903,knn
6,0.1090245246887207,0.38611626625061035,0.9676515636775116,-411.8015386244385,-10801781.968111098,0.9676493568113659,-3286.6064516627325,knn
7,0.10932755470275879,0.38091063499450684,0.9521445724042158,-531.8701964432025,-17084460.79802112,0.951996780558715,-4133.335311588103,knn
8,0.11476778984069824,0.37713027000427246,0.9459364158597422,-592.6549860294567,-17940378.531947825,0.9459279507906784,-4235.608401628723,knn
9,0.11398100852966309,0.3739767074584961,0.9431891396623391,-566.034981552223,-19301278.387295898,0.9431866496807645,-4393.3220218071765,knn
0,0.009635686874389648,0.0016064643859863281,0.9792030269223684,-499.6465345190524,-6887501.475876967,0.9792003122149799,-2624.4049755853166,rr
1,0.011507749557495117,0.0017845630645751953,0.9845115039174578,-400.6759531287059,-5430798.222851299,0.9845070610711206,-2330.407308358627,rr
2,0.011603593826293945,0.0019135475158691406,0.9761745619951229,-528.572763530351,-8152879.455875671,0.9761630878880472,-2855.3247548879044,rr
3,0.011465072631835938,0.0017652511596679688,0.9759088381501648,-485.9395685385062,-8161752.722448921,0.9758189057930281,-2856.878142737089,rr
4,0.01149129867553711,0.0017404556274414062,0.9784157080848681,-465.5303642085983,-7173972.192845987,0.9783997953146231,-2678.427186399882,rr
5,0.011677742004394531,0.0017430782318115234,0.9802743380882404,-534.1927831900325,-6963702.651755122,0.9802208114492431,-2638.88284161217,rr
6,0.01662898063659668,0.002846240997314453,0.9687730417113523,-721.1342878090384,-11050466.287196364,0.9686919454116928,-3324.224163199041,rr
7,0.01197195053100586,0.0018126964569091797,0.9746089176537114,-582.6494559487618,-8431959.839772852,0.9746057759662505,-2903.7837109145803,rr
8,0.011665582656860352,0.0019326210021972656,0.9815993133271704,-451.75690313087085,-6425893.356177815,0.9815926208830863,-2534.9345861733427,rr
9,0.0116424560546875,0.0022919178009033203,0.9812970638724202,-468.8738815622193,-6165765.26128291,0.981295528625726,-2483.0959025544926,rr
0,15.276925325393677,2.357135772705078,0.9549271716315686,-543.4324723447311,-15822871.401921626,0.9547823548339454,-3977.7973052836196,svr
1,14.330106496810913,2.8171751499176025,0.965419962728442,-459.726539531358,-11944999.971765112,0.9651465813987177,-3456.1539276723647,svr
2,14.858189821243286,2.360208749771118,0.9651795131326365,-442.6416695890096,-12247581.264930869,0.9648384335618057,-3499.6544493608035,svr
3,15.696597576141357,2.3721842765808105,0.9719180539674664,-317.43275725310815,-9195094.341013426,0.9717926805021001,-3032.3413958546003,svr
4,13.885911703109741,2.3503544330596924,0.9790200000314323,-382.8940619620426,-7405657.321279644,0.9789656823294727,-2721.3337394152236,svr
5,13.953076601028442,2.342224359512329,0.9749077385652569,-358.0707350698531,-8693866.044583172,0.9748759387765454,-2948.5362545817834,svr
6,13.868814945220947,2.357639789581299,0.9541442258212423,-477.7111676050003,-15270951.508581396,0.9537605579490178,-3907.806483000584,svr
7,14.660919189453125,2.351815700531006,0.973501254427801,-398.30595083453346,-9108447.20844576,0.9733526937164441,-3018.020412198327,svr
8,14.5816810131073,2.3800344467163086,0.9583536599939511,-474.78568495009176,-13880080.042612633,0.9581057633163955,-3725.5979443054016,svr
9,14.531330108642578,2.372593402862549,0.9792043230464864,-322.53745834471937,-7110694.53057275,0.9791058756882829,-2666.5885566717543,svr
