,CVL1,TrainL1,CVL2,TrainL2
0.1,-0.6101203761125519,-0.017855113636363638,-0.6273804273314871,-0.01990056818181818
0.15000000000000002,-0.6147077308753686,-0.021827651515151515,-0.6258724305214202,-0.02319128787878788
0.2,-0.6272307965599379,-0.016321022727272726,-0.6368617538747009,-0.016803977272727273
0.25,-0.6328345807329311,-0.01722159090909091,-0.6421079003143885,-0.017551136363636363
0.30000000000000004,-0.6266790156187404,-0.016827651515151514,-0.6338567701278695,-0.017045454545454548
0.35,-0.666211628182136,-0.0199025974025974,-0.6740606893078642,-0.019991883116883113
0.4,-0.6667347409621709,-0.014142400568181817,-0.6715871762163712,-0.014377911931818182
0.45000000000000007,-0.7240907329705936,-0.0267022095959596,-0.7282274218035261,-0.026896906565656565
0.5,-0.7502616708296964,-0.02986880681818182,-0.7555610085627928,-0.030782045454545458
0.55,-0.7226132278581191,-0.02096363636363636,-0.7291906842006224,-0.02133078512396694
0.6,-0.4961689815634857,-0.02049753787878788,-0.5260368217444997,-0.0211905303030303
0.65,-0.3221861422092588,-0.02146442307692308,-0.3895035734969744,-0.022250874125874127
0.7000000000000001,-0.29796699324525433,-0.02871286525974026,-0.3719749105163128,-0.029434821428571428
0.75,-0.24814748389628116,-0.020323106060606062,-0.3091553896551147,-0.022032916666666666
0.8,-0.25701579231088034,-0.024772017045454543,-0.31981285480970295,-0.026065127840909093
0.85,-0.244956777568953,-0.028768482620320855,-0.28680406319562624,-0.02994375
0.9,-0.21929892691181427,-0.025056123737373738,-0.2591972386440274,-0.026326294191919192
0.9500000000000001,-0.2922629067717,-0.028536662679425832,-0.33604672733378965,-0.02995122607655502
1.0,-0.2777761691200265,-0.030082686527099195,-0.3239117279234249,-0.031463296685035794
