,fit_time,score_time,test_r2,test_explained_variance,test_neg_mean_absolute_error,Algorithm
0,0.09203672409057617,2.7010762691497803,0.9908406838824052,0.9908510227755077,-1037.4409255198575,knn
1,0.09664011001586914,2.595560073852539,0.992342695670306,0.992350218980577,-982.2189570672176,knn
2,0.1010899543762207,2.5501108169555664,0.9910775325331009,0.9910779906644621,-1072.6375862889488,knn
3,0.0947425365447998,2.684934139251709,0.9917052941151937,0.9917120685694601,-1035.0442800669678,knn
4,0.08762907981872559,1.028008222579956,0.9935521459688681,0.9935530267416873,-947.4354525304902,knn
0,0.15493011474609375,0.0036535263061523438,0.9945776161991317,0.9945824948281903,-513.5799160369439,dtree
1,0.15784716606140137,0.0037202835083007812,0.9931510945849653,0.993153675827021,-632.5190420168067,dtree
2,0.15437054634094238,0.0034711360931396484,0.9926986899886884,0.992699244293564,-641.2300168067227,dtree
3,0.15432024002075195,0.0025146007537841797,0.9929287467038538,0.992929035725214,-626.0736638655461,dtree
4,0.09389543533325195,0.001771688461303711,0.9937015952054512,0.9937086820802336,-627.6877394957984,dtree
0,29.007360696792603,2.1841180324554443,0.990138658296705,0.9901737082810964,-1174.7925596891407,svr
1,32.827486753463745,1.4322292804718018,0.9897773331330609,0.9898092906452064,-1213.2721926504403,svr
2,29.859331369400024,2.2340240478515625,0.9885871705932111,0.9886818102407091,-1252.9950079305504,svr
3,35.51419925689697,1.352759838104248,0.9891363915297099,0.9891377440439204,-1192.7684992694103,svr
4,22.577918767929077,1.2168540954589844,0.9911069722812864,0.9911076540717214,-1122.5742162357515,svr
