,CVL1,TrainL1,CVL2,TrainL2
0.1,-28928708.610934936,-1789.7727272727273,-29930341.332236536,-11505.681818181818
0.15000000000000002,-28902702.259326477,0.0,-29967967.31260714,0.0
0.2,-28913519.381353963,0.0,-29956241.24809264,0.0
0.25,-28907997.90896132,0.0,-29963144.030492745,0.0
0.30000000000000004,-28776739.784993507,0.0,-29817971.080244392,0.0
0.35,-28741065.91167403,0.0,-29825561.691920303,0.0
0.4,-28731402.393077593,-639.2045454545455,-29846039.506816287,-2045.4545454545455
0.45000000000000007,-28738534.76587274,-4886.363636363637,-29836146.633302145,-16250.0
0.5,-28727026.046932198,-7056.818181818182,-29641717.006486617,-29812.5
0.55,-28685745.92938192,-3858.471074380165,-29386654.557899166,-10878.099173553717
0.6,-28269177.352104537,-7883.522727272728,-27980334.738871343,-30980.113636363636
0.65,-27921236.75832491,-3658.2167832167825,-27511126.146774583,-14042.832167832166
0.7000000000000001,-27883264.39080446,-2995.12987012987,-27401129.27077381,-10008.116883116885
0.75,-27860018.775392305,-2829.5454545454545,-27369592.027679574,-9477.272727272726
0.8,-27698275.99198749,-2684.659090909091,-27321004.34220193,-12752.130681818182
0.85,-27699886.421435345,-2436.4973262032086,-27317783.48330622,-11550.802139037434
0.9,-27699426.298735958,-2301.136363636363,-27315942.521554023,-10625.000000000002
0.9500000000000001,-27697585.807938416,-2072.3684210526317,-27307660.312965065,-6674.641148325359
1.0,-27695975.37849056,-6314457.163958641,-27306740.067566294,-6405744.375639132
