,CVL1,TrainL1,CVL2,TrainL2
0.1,-1.7612451801954148,-0.11100852272727273,-1.8844267561352832,-0.13308238636363637
0.15000000000000002,-1.8603312041450288,-0.0500094696969697,-1.9317792249842491,-0.06916193181818182
0.2,-1.868225127888051,-0.0327840909090909,-1.972580351769429,-0.04294034090909091
0.25,-1.8688531938551929,-0.030124999999999996,-1.9772010088349,-0.037511363636363634
0.30000000000000004,-1.8681356499569859,-0.032362689393939395,-1.975638833924434,-0.037372159090909095
0.35,-1.8705933647698707,-0.028488230519480517,-1.9782162039252498,-0.03266030844155844
0.4,-1.8798690934937092,-0.03173394886363636,-1.986492949126222,-0.036149360795454555
0.45000000000000007,-1.8768233812742152,-0.03684046717171717,-1.9847675540999223,-0.04126919191919192
0.5,-1.9023997326524378,-0.06788210227272728,-1.989253581942761,-0.07439573863636365
0.55,-1.8537794130102792,-0.04232412190082645,-1.9688920938202377,-0.04693801652892563
0.6,-0.4266549567535945,-0.04007670454545455,-0.4640848827195224,-0.04663210227272727
0.65,-0.2575343243870787,-0.060917657342657326,-0.2989075273706287,-0.06618312937062937
0.7000000000000001,-0.2618824034153632,-0.05977637987012988,-0.2978347692717785,-0.06406534090909091
0.75,-0.26761314655041407,-0.07012367424242424,-0.30380236602156346,-0.07517215909090909
0.8,-0.2689427407130881,-0.07165092329545455,-0.3072724437604787,-0.07787446732954545
0.85,-0.27553868521788455,-0.09006985294117646,-0.30609698232957194,-0.09777473262032085
0.9,-0.26399122251226054,-0.08286190025252524,-0.2955991060211029,-0.09012136994949495
0.9500000000000001,-0.25566489860639285,-0.07007446172248803,-0.2818327218749018,-0.0780313995215311
1.0,-0.28546789393153993,-0.09564223880240882,-0.3118849503288833,-0.10315431129417112
