,CVL1,TrainL1,CVL2,TrainL2
1,5119.395516331765,0.0,2970.6015701204965,0.0
2,5790.893624522836,402.9013697865305,3373.5004350351464,134.30212651010953
3,6074.415047981279,1551.9111920360197,3507.800056673363,716.2691018427317
4,5790.893624522861,2318.779433058467,4011.4236378166474,1143.6577437241574
5,5441.714608263563,2642.098807735217,4560.709090316944,1567.7038385270835
6,6387.780831803836,3090.6474384092694,5059.706795603837,2362.042916480158
7,7016.035070895972,3369.9351807845396,5985.491035468158,2975.2501142437254
8,7805.391111041131,4101.300549175763,6940.834134800191,3396.2326228367
9,8840.002063932101,4832.228247112292,8136.991953141203,4142.492970126526
10,10206.68319640109,5534.660701518991,9481.447227141156,4900.766888166211
11,11117.398765626367,6343.63980482385,10438.104498896628,5837.517633178598
12,12024.669945764732,7529.51523935352,11438.939199082366,6992.314352298514
13,12611.610773332759,8731.248100308841,12300.054896322657,8054.183639751249
14,13709.141808683624,9585.521225225375,13347.303249683719,9182.617043847991
15,14404.632210958465,10672.149468627094,13977.203947529448,10220.895280970934
16,15133.177862960647,11439.734977958344,14455.320058421625,11169.028218981444
17,15644.09805678557,12294.727263491639,14809.419948211247,11921.093463590387
18,16223.234753391951,13118.316092972535,15357.675974450502,12728.774398442545
19,16839.633753602968,13899.9911748015,15832.126082928586,13400.267981867904
20,17103.041000835976,14587.284738535267,16371.060239791334,13819.621447268619
21,17387.349633526475,15050.926195046679,16881.770090300335,14055.047716695999
22,17593.821145495673,15559.54915921772,17246.481310450075,14162.793467141939
23,17880.267806445034,16086.260564273776,17499.815832910997,14682.400346863491
24,18153.195490001042,16404.030203189872,17766.813096784153,15249.95508181209
25,18484.46186004427,16518.26818373456,18149.310698065274,15471.000506570703
26,18773.968450523946,16765.451457719213,18209.568055682612,15805.951256842283
27,18996.47217000308,16913.733917874826,18348.16714767436,16212.636930053623
28,19250.269747893908,17088.931165245143,18561.06414268475,16613.25994030331
29,19644.777425791697,17285.15171286316,18675.95092957028,16877.65496440318
30,20165.566465243217,17416.53986519792,19062.731317699734,17264.63298669596
31,20522.99922164487,17712.772418038727,19666.42439368151,17583.65083478921
32,20918.75913321939,18130.59928768936,20294.742671678097,17719.685874661478
33,21364.415630448108,18460.58157127105,20807.588306901504,17866.08833058262
34,22038.325787978523,18586.76381290513,21491.00681627273,17941.5098953904
35,22738.512633746723,18814.610813145664,22072.7485630607,17879.128244508694
36,23417.503834132327,19062.178191587027,22606.557848750374,18083.035145303413
37,24075.31440558756,19391.241960241063,23222.928387842352,18225.92036213196
38,24688.80427673775,19588.48909854618,23903.955987716192,18647.943118702882
39,25432.91148391934,19977.508946409915,24715.7774048511,19135.657555799065
40,26062.102597573063,20380.35714505564,25419.788740253553,19658.019790396836
41,26613.85758214829,20867.374914588818,26079.19470018785,20183.330183570288
42,27240.93490906704,21297.441374776165,26771.091069637187,20646.416795090066
43,27765.38852922808,21788.403403641536,27363.908854788806,20990.89214988801
44,28424.79606580032,22302.410071232134,27992.996969239925,21355.764051312657
45,29063.681124193765,22901.201685722364,28563.894363827232,21844.954799653486
46,29737.7899842731,23521.242537074173,29294.23713033694,22317.42217078836
47,30370.480115518556,24130.867096530477,30026.455510853208,22945.280840270563
48,31043.60615938215,24637.492396751415,30655.66837106873,23581.354575782578
49,31788.91676960091,25122.891072429607,31222.73105384883,24310.18125008351
