,CVL1,TrainL1,CVL2,TrainL2
0.1,-25120664.96163683,0.0,-25102250.63938619,0.0
0.15000000000000002,-25120664.96163683,0.0,-25102250.63938619,0.0
0.2,-25120664.96163683,0.0,-25102250.63938619,0.0
0.25,-25120664.96163683,0.0,-25102250.63938619,0.0
0.30000000000000004,-25120664.96163683,0.0,-25102250.63938619,0.0
0.35,-25120664.96163683,0.0,-25102250.63938619,0.0
0.4,-25120664.96163683,0.0,-25102250.63938619,0.0
0.45000000000000007,-25120664.96163683,0.0,-25102250.63938619,0.0
0.5,-25120664.96163683,0.0,-25102250.63938619,0.0
0.55,-25120664.96163683,0.0,-25102250.63938619,0.0
0.6,-25120664.96163683,0.0,-25102250.63938619,0.0
0.65,-25120664.96163683,0.0,-25102250.63938619,0.0
0.7000000000000001,-25120664.96163683,0.0,-25102250.63938619,0.0
0.75,-25120664.96163683,0.0,-25102250.63938619,0.0
0.8,-25120664.96163683,0.0,-25102250.63938619,0.0
0.85,-25120664.96163683,0.0,-25102250.63938619,0.0
0.9,-25120664.96163683,0.0,-25102250.63938619,0.0
0.9500000000000001,-25120664.96163683,0.0,-25102250.63938619,0.0
1.0,-25120664.96163683,-6063158.492763503,-25102250.63938619,-6112628.0057380665
