,L1NN,L2NN,RIDGE
0.0,2.84083921911,4.43469963145,0.439813751565
0.25,3.52300975403,34.8430814375,67.3436051497
0.5,3.95413333411,100.294794176,178.562306545
0.75,4.31313474629,131.34906844,315.197459066
1.0,4.71659081893,148.441822362,512.240663188
1.25,5.35213561823,167.980761552,690.19661017
1.5,6.13116548444,182.383904673,894.138839719
1.75,7.02789955363,178.747195766,1017.05127001
2.0,7.79232353195,171.680273351,1203.72025388
2.25,9.04246634692,184.089130511,1330.46932888
2.5,10.48622419,198.842972173,1575.80752075
2.75,10.6786139195,200.494626389,2123.81627665
3.0,11.6036733282,202.342219417,2502.63335268
3.25,13.2470033589,184.329201873,2610.3384613
3.5,13.6155306814,180.130483021,2687.71823707
3.75,14.9169520794,165.394543512,2650.5680719
4.0,15.5816886892,171.817804302,3029.4258916
4.25,16.7099255831,199.155451563,3587.4319568
4.5,18.8764815394,200.444381411,3768.0300284
4.75,19.7149949158,209.760009774,4109.5659949
5.0,19.6243775767,215.757486532,4633.16766613
5.25,19.9429407036,201.106010413,5425.23793712
5.5,22.4586981978,203.660687539,6003.4236224
5.75,24.7217951358,221.166709756,6287.77496811
6.0,23.4337533279,208.101910623,6772.76061461
6.25,22.4154417298,194.498587233,7195.69093298
6.5,22.2624077772,198.319748078,7674.41893998
6.75,24.6559319343,207.154212189,8476.42759272
7.0,26.0261533646,209.47757011,8756.84031343
7.25,28.5780334775,196.179647808,8405.16205559
7.5,32.2024057109,211.406698349,9637.66684056
7.75,33.6304489632,213.311049665,9944.77327264
8.0,32.2761098271,215.67486734,11207.1784744
8.25,31.7178889523,213.514251374,11077.0014831
8.5,32.0536173708,211.432494332,11123.7880641
8.75,32.794609367,225.106691828,11946.6830006
9.0,34.9695629778,226.695463943,12880.2960304
9.25,36.2246433895,231.463511683,11879.8370572
9.5,39.9071044122,233.327067216,11367.5069846
9.75,42.5914648195,231.992367562,11865.686802
10.0,46.3224540103,235.524626358,11853.4256018
