,CVL1,TrainL1,CVL2,TrainL2
1,26165098.680846713,0.0,25975508.74322528,0.0
2,26165098.680846713,516732.2834645669,25975508.74322528,299909.2442990081
3,26165098.680846713,1267668.2460147026,25975508.74322528,1242671.3706241266
4,26165098.680846713,2986309.949892627,25975508.74322528,2767010.3026894364
5,26165098.680846713,3734635.4432968604,25975508.74322528,3634778.607219552
6,26165098.680846713,4881048.249650612,25975508.74322528,4876361.335514879
7,26165098.680846713,5481654.7746003,25975508.74322528,6022680.316630179
8,26165098.680846713,7171437.998517231,25975508.74322528,7365851.729471316
9,26165098.680846713,7232208.347693911,25975508.74322528,7227481.98141899
10,26165098.680846713,7580945.137539626,25975508.74322528,7056901.268023315
11,26165098.680846713,8145612.03422074,25975508.74322528,7354032.380062184
12,26165098.680846713,8801523.211587189,25975508.74322528,7795727.416175252
13,26165098.680846713,8798938.795910327,25975508.74322528,8262474.956902577
14,26165098.680846713,8793791.125715036,25975508.74322528,8806081.231961032
15,26165098.680846713,8635005.851541284,25975508.74322528,8634187.771983048
16,26165098.680846713,8530696.358267717,25975508.74322528,8530696.358267717
17,26165098.680846713,8479211.50859603,25975508.74322528,8479211.50859603
18,26165098.680846713,8464566.929133859,25975508.74322528,8464566.929133859
19,26162044.47939349,8437712.929424493,25975508.74322528,8479236.415644469
20,26159374.169137947,8446435.282237448,25975508.74322528,8529641.578893548
21,26157022.23214677,8512634.494435877,25975508.74322528,8482130.016679268
22,26154936.91575555,8564409.92631368,25975508.74322528,8504460.984450571
23,26153076.85482432,8676629.552814748,25975508.74322528,8549641.403949784
24,26151408.63073934,8785211.951489018,25975508.74322528,8529118.031055778
25,26149904.98005931,8850619.77707332,25975508.74322528,8456722.200634012
26,26148543.461384162,8881657.220732022,25975508.74322528,8449516.829324521
27,26147305.45045506,8855478.537966143,25975508.74322528,8409580.676713951
28,26146175.37371836,8812046.775837855,25975508.74322528,8377814.039768685
29,26145140.117403172,8784577.631773975,25975508.74322528,8280437.350341476
30,26144188.567338172,8765004.00518117,25975508.74322528,8183721.09736283
31,26143311.24724252,8628616.115422428,25975508.74322528,8132667.354358587
32,26142500.031956233,8531596.600296235,25975508.74322528,8110971.388586192
33,26141747.918249514,8432440.68571068,25975508.74322528,8124071.220999705
34,26141048.840269614,8346769.996684513,25975508.74322528,8106346.1849433035
35,26140397.519883297,8303594.478797757,25975508.74322528,8068109.818832942
36,26139789.344513755,8305166.754723841,25975508.74322528,8064976.627763701
37,26142814.22953481,8317247.995903028,25960608.52062129,8049686.288300887
38,26145707.81586072,8352897.812430333,25946537.806861278,8022522.133187771
39,26147831.27230129,8370409.706721034,25933214.272099793,8005379.353804551
40,26149872.430718888,8353970.146487371,25920598.987626545,7996543.9334287755
41,26151217.668961138,8359126.797404069,25908661.21657458,7966700.578927554
42,26150984.19979506,8332973.003258637,25897317.97208095,7952349.126581811
43,26150785.0538546,8368627.329199761,25886507.58285973,7970559.588650662
44,26152072.422436677,8450407.716632623,25876222.36551761,8004936.894627467
45,26153898.262717158,8508997.2465563,25864833.486723248,8004366.045153446
46,26155649.68797185,8558199.524713561,25853418.488095414,8025006.193105825
47,26157338.08151548,8569443.35592974,25844578.054127038,8092769.687226687
48,26158988.64914613,8604661.78854774,25838128.898660395,8170954.360907301
49,26169677.50722879,8606677.981133997,25837262.710397918,8275103.091525546
