,L1NN,L2NN,RIDGE
0.0,2.85811986071,4.78030541181,49.7226941491
0.25,46.9752017016,93.4912293783,114.852585565
0.5,61.1940967507,116.126568629,278.433344254
0.75,69.7135741061,125.999256714,451.716205738
1.0,77.3193225922,140.367430144,804.92195459
1.25,77.8282747634,130.066040257,1065.32655265
1.5,81.5156730103,130.025391974,1270.17409154
1.75,80.4957429613,124.123382337,1548.23032517
2.0,79.2886926093,117.660159336,1918.79852922
2.25,85.9402441265,130.132099178,2581.64037863
2.5,86.3702179845,129.531649818,3133.43157763
2.75,91.0833226889,134.357813316,3465.51290251
3.0,86.9416456806,127.880922674,3621.23824208
3.25,86.2621188508,126.526959251,4396.46803841
3.5,83.0265089695,118.420271116,4966.79255743
3.75,83.8236811387,112.072337643,5401.52592036
4.0,86.6409447462,114.672277758,6048.59295597
4.25,90.5976195916,125.120275172,6698.03350329
4.5,89.6016026027,121.677354321,6920.88211951
4.75,97.4001670186,126.742530513,7163.45475346
5.0,93.6862250635,125.6619697,7415.65692053
5.25,101.323208092,134.32608859,7643.01683514
5.5,103.98350188,138.292963332,8478.77378762
5.75,105.115296166,131.910717512,9316.20512431
6.0,99.7186562289,130.462747466,9094.39117112
6.25,106.551075557,140.436946606,10324.2432471
6.5,112.932193196,143.54499508,11241.009167
6.75,105.324934924,137.674043787,11389.5161887
7.0,105.229146342,136.979381232,13118.0140441
7.25,103.745858245,141.672376485,13503.9647672
7.5,104.576176323,139.673935078,13480.1121917
7.75,109.455249832,144.31409569,12996.6080719
8.0,112.519146977,149.188343971,13204.8585554
8.25,114.883699494,151.792086494,13770.5492682
8.5,112.999908478,144.4271353,14024.8024203
8.75,117.573980693,150.350748527,14025.2164111
9.0,114.267629516,146.424438135,15112.0901163
9.25,116.507087003,150.228018259,16124.8339539
9.5,112.101173705,145.647709499,17342.5381551
9.75,115.115755668,146.230531334,16450.0205354
10.0,123.710780229,158.680775034,16683.9192859
