,L1NN,L2NN,RIDGE
0.0,2.87945990876,4.32387269198,1.93520148684
0.25,3.56854395042,37.0018474603,62.925324407
0.5,4.23091069382,76.6133359681,142.461000259
0.75,4.69455108284,129.53288489,304.290417471
1.0,5.22800119484,160.018077056,524.349679179
1.25,5.82097294484,169.838664675,627.915609202
1.5,6.10615454132,163.030344204,686.856927174
1.75,6.7625671176,176.259105911,948.923226332
2.0,8.27260714228,170.109355199,1230.94857968
2.25,9.13730541166,178.197775893,1472.13430869
2.5,9.64119492633,179.317975196,1443.48464568
2.75,10.9205697178,212.318978137,1863.42626663
3.0,12.6478607,195.842532855,2197.419354
3.25,12.6362785299,187.734490555,2598.60941001
3.5,15.2604914521,200.517394287,2807.56512912
3.75,17.634473428,189.701275649,3166.26790941
4.0,18.0355431677,191.942520412,3330.31838932
4.25,18.8936048806,179.021523656,3647.30921295
4.5,20.2030185639,193.215932653,4153.52790783
4.75,20.8217337648,185.521063192,4450.24725879
5.0,21.4721242019,184.18567201,4930.59651851
5.25,22.5623157053,197.671005198,5704.25507069
5.5,23.2889391415,192.431342217,5674.95665118
5.75,26.1103990966,197.650426013,5705.18420162
6.0,27.1296728812,205.36788416,6531.85928592
6.25,26.9693044907,211.638235864,7657.37842439
6.5,31.2412325471,216.410164113,8019.09503604
6.75,32.6168452046,223.591274063,7467.38365702
7.0,32.968893111,214.879380258,7437.84631609
7.25,33.0017726699,215.223541805,7290.09711547
7.5,35.0857456999,216.564098775,7579.00052925
7.75,34.3557393983,220.536303797,7712.14826518
8.0,34.8668203606,226.121706144,8551.49702587
8.25,34.0548406286,215.958749497,9728.67909761
8.5,34.5236852188,221.018457318,10241.4305642
8.75,32.1929201287,229.740780785,10914.273746
9.0,32.567642324,239.835239412,10203.5999537
9.25,35.7850697713,245.556307528,10078.7124466
9.5,37.1814161235,247.372186323,9553.54641706
9.75,36.8731565428,259.481508252,9262.49173376
10.0,39.3438479232,257.468003755,10777.8956985
