,L1NN,L2NN,RIDGE
0.0,4.46850127644,5.10183416356,48.3249112384
0.25,38.3598704528,78.2024605798,86.7431197831
0.5,48.8716261149,89.2791194639,193.811880194
0.75,63.587068738,106.644302735,385.129635862
1.0,70.3110821546,115.843168641,592.340770585
1.25,74.115494462,120.017357654,779.791217621
1.5,82.3608614791,120.273071764,914.258129226
1.75,104.665218188,152.133098843,1241.74283379
2.0,95.8814168851,144.58186992,1597.92436531
2.25,96.378363771,141.094063549,1850.73008653
2.5,99.7756902388,144.26539725,1881.55819412
2.75,100.255740261,142.843161432,2423.14779093
3.0,100.602146308,143.13970607,2834.73571914
3.25,110.734370393,146.857032015,3619.64159671
3.5,124.255502363,154.093521813,3901.03995281
3.75,116.778278806,150.29217674,4311.19146232
4.0,112.960296067,147.024463272,4657.20664536
4.25,116.237791864,150.225427751,5022.47600003
4.5,115.393575467,147.088959937,5572.78298602
4.75,118.699203017,146.586355111,5954.23089623
5.0,117.348410965,152.128626531,6531.42591785
5.25,118.001743987,155.808473899,7249.8178637
5.5,122.866964648,156.009949319,7455.04354623
5.75,126.698062659,157.301139911,7505.52946902
6.0,137.264065106,162.362429312,7934.8053152
6.25,144.010332176,168.5247407,8553.90596665
6.5,140.682144518,164.450295059,8963.71168028
6.75,138.973603496,162.213179592,8805.00696264
7.0,140.794925017,166.146000344,9264.26866331
7.25,133.347454508,166.192330196,9567.49677652
7.5,130.118028302,165.15345916,9966.90597726
7.75,129.392537352,166.719731763,9936.00263861
8.0,135.835466496,169.904290163,11410.5715117
8.25,137.159372222,169.465961057,12689.6698809
8.5,140.41641359,170.158865173,13492.0361499
8.75,146.434642582,172.546718507,14787.192011
9.0,147.488053243,174.605999383,13418.0896264
9.25,140.952497176,174.503619955,12919.7311821
9.5,140.564071345,173.629646729,12552.6115002
9.75,142.691767265,180.378958584,12244.0117811
10.0,144.837500578,181.094128674,12872.4599618
