,L1NN,L2NN,RIDGE
0.0,0.804347826087,0.70652173913,0.902173913043
0.25,0.672826086957,0.446304347826,0.428695652174
0.5,0.616739130435,0.38847826087,0.384782608696
0.75,0.552608695652,0.396739130435,0.296956521739
1.0,0.538260869565,0.327826086957,0.335869565217
1.25,0.513913043478,0.350434782609,0.305869565217
1.5,0.476739130435,0.377608695652,0.287391304348
1.75,0.387826086957,0.298260869565,0.272391304348
2.0,0.369130434783,0.285869565217,0.317608695652
2.25,0.36,0.286086956522,0.349130434783
2.5,0.343260869565,0.282391304348,0.356956521739
2.75,0.345217391304,0.314782608696,0.354347826087
3.0,0.355434782609,0.310869565217,0.334347826087
3.25,0.31347826087,0.270652173913,0.37652173913
3.5,0.315,0.292391304348,0.344782608696
3.75,0.36,0.328913043478,0.332608695652
4.0,0.347391304348,0.335,0.331956521739
4.25,0.324347826087,0.311739130435,0.337391304348
4.5,0.353260869565,0.331739130435,0.320652173913
4.75,0.335434782609,0.315217391304,0.32347826087
5.0,0.292826086957,0.275,0.361739130435
5.25,0.284130434783,0.277391304348,0.371956521739
5.5,0.304782608696,0.294565217391,0.34152173913
5.75,0.306086956522,0.302608695652,0.343043478261
6.0,0.289565217391,0.28,0.366086956522
6.25,0.272608695652,0.267173913043,0.367173913043
6.5,0.285,0.278043478261,0.36
6.75,0.277173913043,0.272173913043,0.384782608696
7.0,0.296086956522,0.281739130435,0.35847826087
7.25,0.311304347826,0.295217391304,0.354347826087
7.5,0.304347826087,0.29347826087,0.359130434783
7.75,0.297391304348,0.281956521739,0.384130434783
8.0,0.308695652174,0.289565217391,0.374347826087
8.25,0.295652173913,0.285652173913,0.365869565217
8.5,0.282391304348,0.27152173913,0.384347826087
8.75,0.27347826087,0.270217391304,0.38152173913
9.0,0.274130434783,0.27347826087,0.397173913043
9.25,0.277826086957,0.270217391304,0.391956521739
9.5,0.312826086957,0.303913043478,0.350217391304
9.75,0.310869565217,0.29,0.352173913043
10.0,0.300652173913,0.262608695652,0.368260869565
