,L1NN,L2NN,RIDGE
0.0,0.324208401495,0.31351299686,0.539714527757
0.25,0.854053390369,1.2230716504,0.995297909672
0.5,0.923649176473,1.38947898437,1.73298759537
0.75,1.07467328747,1.71397370295,2.86763658635
1.0,1.07308739551,1.75449566497,4.33339410955
1.25,1.01296450698,1.91524538898,6.20569472485
1.5,0.938233096837,1.83437888409,8.13359653243
1.75,1.21594269766,1.94909849253,10.2915412972
2.0,1.19914234585,2.00366947933,12.0999183396
2.25,1.1416262278,1.94137433598,14.6568287151
2.5,1.10958946336,1.92872766631,17.6453887583
2.75,1.19142940857,1.8957179478,19.4261993994
3.0,1.27032868912,1.98598530609,21.4308696656
3.25,1.20355524975,1.88313382148,25.0290392717
3.5,1.22874893074,1.95252051421,28.1665910858
3.75,1.17607338359,1.84421418951,30.4320857887
4.0,1.22855572084,1.79973469,33.025762023
4.25,1.29727684416,2.03788919198,36.6396882397
4.5,1.33139230101,1.9905570135,37.8717050048
4.75,1.25637331347,1.82804691198,39.1822165968
5.0,1.3230182478,1.9188469052,45.4946083018
5.25,1.39350035536,1.92958786843,46.7300622457
5.5,1.33930614767,1.91628225259,51.8924475757
5.75,1.3891434846,1.95193892947,57.7896986276
6.0,1.3149833929,1.82974008701,61.3593757313
6.25,1.33925227959,1.91642007076,62.7277745713
6.5,1.38325485793,1.92339594852,64.1980330117
6.75,1.30724518894,1.86898489036,63.4518080962
7.0,1.2809791099,1.83172071212,67.6898428973
7.25,1.26290896236,1.8012064397,72.4942670038
7.5,1.38990004576,1.87744849804,76.2489000011
7.75,1.47568635245,1.92708048996,82.1107272343
8.0,1.42012227262,1.93947571679,83.3010239395
8.25,1.45029927353,1.922653587,86.9809164475
8.5,1.44798366455,2.00229029334,93.3540828578
8.75,1.52887346213,1.95447252894,99.0162457876
9.0,1.5316681151,1.92079207964,102.31019558
9.25,1.52861966231,1.90254460584,102.81883935
9.5,1.52500893558,1.8503301794,113.456755826
9.75,1.52841711532,1.87067490035,120.510304231
10.0,1.50233156766,1.86974980455,131.179277852
