,L1NN,L2NN,RIDGE
0.0,0.78,0.73,0.89
0.25,0.73,0.67,0.42
0.5,0.73,0.6,0.42
0.75,0.67,0.44,0.33
1.0,0.72,0.49,0.29
1.25,0.73,0.38,0.35
1.5,0.7,0.44,0.4
1.75,0.69,0.36,0.37
2.0,0.63,0.37,0.37
2.25,0.63,0.35,0.37
2.5,0.67,0.37,0.33
2.75,0.64,0.33,0.45
3.0,0.59,0.3,0.43
3.25,0.61,0.36,0.42
3.5,0.59,0.34,0.37
3.75,0.64,0.39,0.36
4.0,0.64,0.41,0.33
4.25,0.55,0.3,0.37
4.5,0.57,0.32,0.34
4.75,0.6,0.34,0.37
5.0,0.55,0.32,0.34
5.25,0.55,0.38,0.33
5.5,0.59,0.37,0.33
5.75,0.57,0.36,0.31
6.0,0.59,0.38,0.34
6.25,0.54,0.34,0.32
6.5,0.57,0.38,0.34
6.75,0.58,0.43,0.29
7.0,0.59,0.4,0.35
7.25,0.63,0.43,0.3
7.5,0.58,0.45,0.32
7.75,0.53,0.39,0.27
8.0,0.53,0.4,0.27
8.25,0.56,0.44,0.27
8.5,0.55,0.41,0.27
8.75,0.52,0.42,0.29
9.0,0.44,0.41,0.32
9.25,0.49,0.43,0.3
9.5,0.51,0.41,0.31
9.75,0.48,0.37,0.33
10.0,0.44,0.35,0.32
