,CVL1,TrainL1,CVL2,TrainL2
0.1,-126001.23999184258,-144298.82901033995,-191523.84210044373,-136709.3134155246
0.15000000000000002,-86913.0827310177,-100154.43748938637,-157352.32606056175,-91544.00055401705
0.2,-72837.03507876361,-56397.27512876851,-136793.67336582177,-52517.63444872589
0.25,-68644.43127783065,-39166.55832887508,-125163.51429228624,-36885.84266623304
0.30000000000000004,-56950.67714116043,-27363.474971578584,-115098.66212254626,-27374.50334574999
0.35,-42497.76503524132,-13937.177092166428,-98210.1554058358,-13817.529023477307
0.4,-44970.33287969169,-16535.678334112978,-104430.18617790772,-15386.695512291244
0.45000000000000007,-43104.08886893933,-16926.96593526031,-99585.73037420012,-16131.13592539604
0.5,-41331.55655152969,-21576.71704805927,-94150.71123886998,-18797.00350615586
0.55,-40367.66551101689,-15420.471314283106,-89465.40431475185,-14093.83146762763
0.6,-53684.50104788053,-19850.71761210454,-88139.3952242788,-17800.871794455394
0.65,-36946.11172073575,-17677.66493933081,-72973.91352232352,-15416.096301874515
0.7000000000000001,-32529.48407090808,-16179.86127875906,-67859.75914616209,-14356.484629256218
0.75,-31190.02922431453,-15558.535004937814,-67415.5159535507,-13570.53956933175
0.8,-27966.633445560066,-15587.920630963363,-63785.062419460664,-12984.610878655123
0.85,-26360.34180779187,-15080.802300869886,-61590.127181349744,-12649.099499473547
0.9,-25892.121754065673,-13950.047408407412,-59724.59399985774,-11771.11131307913
0.9500000000000001,-23910.938613201968,-16191.004699069625,-60324.20201182646,-13920.907238692831
1.0,-18916.559482105455,-20988.364298608354,-60160.4878067464,-19807.55788971306
